
Segment Center Intensity Max Ch=2 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
8,,Segment,2,4,Image 1,4,1,100000000,510000001735,
2,,Segment,2,3,Image 1,3,1,100000000,510000001750,
1,,Segment,2,2,Image 1,2,1,100000000,510000001756,
3,,Segment,2,1,Image 1,2,1,100000000,510000001758,
7,,Segment,2,0,Image 1,1,1,100000000,510000001781,
28,,Segment,2,8,Image 1,3,1,100000001,510000001833,
3,,Segment,2,6,Image 1,2,1,100000001,510000001838,
8,,Segment,2,9,Image 1,6,1,100000003,510000001858,
4,,Segment,2,3,Image 1,3,1,100000002,510000001878,
7,,Segment,2,2,Image 1,2,1,100000002,510000001892,
3,,Segment,2,1,Image 1,1,1,100000002,510000001897,
4,,Segment,2,0,Image 1,1,1,100000002,510000001910,
31,,Segment,2,7,Image 1,4,1,100000003,510000001951,
34,,Segment,2,12,Image 1,7,1,100000002,510000002012,
4,,Segment,2,11,Image 1,6,1,100000002,510000002016,
1,,Segment,2,10,Image 1,5,1,100000002,510000002022,
2,,Segment,2,9,Image 1,4,1,100000002,510000002038,
2,,Segment,2,8,Image 1,3,1,100000002,510000002055,
9,,Segment,2,7,Image 1,3,1,100000002,510000002089,
7,,Segment,2,6,Image 1,3,1,100000002,510000002123,
3,,Segment,2,5,Image 1,2,1,100000002,510000002132,
2,,Segment,2,4,Image 1,1,1,100000002,510000002159,
2,,Segment,2,3,Image 1,1,1,100000002,510000002167,
4,,Segment,2,1,Image 1,1,1,100000002,510000002186,
1,,Segment,2,0,Image 1,1,1,100000002,510000002206,
2,,Segment,2,10,Image 1,6,1,100000001,510000002226,
3,,Segment,2,9,Image 1,5,1,100000001,510000002229,
2,,Segment,2,3,Image 1,1,1,100000003,510000002262,
2,,Segment,2,2,Image 1,1,1,100000003,510000002270,
3,,Segment,2,1,Image 1,1,1,100000003,510000002274,
11,,Segment,2,0,Image 1,1,1,100000003,510000002321,
4,,Segment,2,3,Image 1,2,1,100000003,510000002351,
5,,Segment,2,4,Image 1,4,1,100000003,510000002364,
20,,Segment,2,3,Image 1,3,1,100000003,510000002395,
10,,Segment,2,2,Image 1,2,1,100000003,510000002401,
2,,Segment,2,4,Image 1,3,1,100000003,510000002403,
2,,Segment,2,5,Image 1,4,1,100000003,510000002409,
3,,Segment,2,4,Image 1,3,1,100000003,510000002417,
5,,Segment,2,3,Image 1,2,1,100000003,510000002421,
13,,Segment,2,4,Image 1,2,1,100000003,510000002432,
2,,Segment,2,1,Image 1,2,1,100000003,510000002436,
2,,Segment,2,2,Image 1,2,1,100000003,510000002450,
11,,Segment,2,5,Image 1,2,1,100000003,510000002502,
1,,Segment,2,4,Image 1,2,1,100000003,510000002504,
4,,Segment,2,3,Image 1,4,1,100000000,510000002529,
4,,Segment,2,2,Image 1,3,1,100000000,510000002542,
18,,Segment,2,1,Image 1,2,1,100000003,510000002554,
12,,Segment,2,0,Image 1,1,1,100000003,510000002585,
5,,Segment,2,1,Image 1,1,1,100000003,510000002590,
3,,Segment,2,3,Image 1,3,1,100000003,510000002603,
6,,Segment,2,2,Image 1,2,1,100000003,510000002657,
7,,Segment,2,3,Image 1,3,1,100000003,510000002706,
6,,Segment,2,15,Image 1,6,1,100000001,510000002716,
9,,Segment,2,14,Image 1,6,1,100000001,510000002720,
14,,Segment,2,12,Image 1,6,1,100000001,510000002739,
3,,Segment,2,11,Image 1,6,1,100000001,510000002743,
3,,Segment,2,10,Image 1,6,1,100000001,510000002747,
12,,Segment,2,9,Image 1,6,1,100000001,510000002759,
7,,Segment,2,10,Image 1,2,1,100000000,510000002794,
1,,Segment,2,8,Image 1,2,1,100000000,510000002797,
3,,Segment,2,7,Image 1,2,1,100000000,510000002819,
4,,Segment,2,6,Image 1,2,1,100000000,510000002822,
27,,Segment,2,5,Image 1,2,1,100000000,510000002824,
27,,Segment,2,4,Image 1,2,1,100000000,510000002832,
1,,Segment,2,3,Image 1,2,1,100000000,510000002835,
5,,Segment,2,9,Image 1,7,1,100000000,510000002852,
4,,Segment,2,8,Image 1,6,1,100000000,510000002858,
3,,Segment,2,7,Image 1,6,1,100000000,510000002888,
4,,Segment,2,6,Image 1,5,1,100000000,510000002899,
4,,Segment,2,5,Image 1,4,1,100000000,510000002915,
1,,Segment,2,4,Image 1,3,1,100000000,510000002917,
29,,Segment,2,13,Image 1,4,1,100000000,510000002939,
4,,Segment,2,12,Image 1,4,1,100000000,510000002975,
28,,Segment,2,11,Image 1,3,1,100000000,510000002993,
27,,Segment,2,10,Image 1,3,1,100000000,510000002995,
