
Intensity Median Ch=4 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,All touching neurons,ID,
36.0625,,Surface,4,Image 1,1,Class A,0,
40.0625,,Surface,4,Image 1,1,Class A,4,
39.0625,,Surface,4,Image 1,1,Class A,119,
37.0625,,Surface,4,Image 1,1,Class A,131,
42.002,,Surface,4,Image 1,1,Class A,178,
