
Intensity StdDev Ch=6 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,All touching neurons,ID,
20.58,,Surface,6,Image 1,1,Class A,0,
20.0715,,Surface,6,Image 1,1,Class A,4,
18.034,,Surface,6,Image 1,1,Class A,119,
35.8282,,Surface,6,Image 1,1,Class A,131,
0,,Surface,6,Image 1,1,Class A,178,
