
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,All touching neurons,ID,
43.9714,,Surface,4,Image 1,1,Class A,0,
46.498,,Surface,4,Image 1,1,Class A,4,
44.1429,,Surface,4,Image 1,1,Class A,119,
41.6027,,Surface,4,Image 1,1,Class A,131,
43.3333,,Surface,4,Image 1,1,Class A,178,
