
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,All touching neurons,ID,
30.6408,,Surface,1,Image 1,1,Class A,0,
29.3475,,Surface,1,Image 1,1,Class A,4,
25.8795,,Surface,1,Image 1,1,Class A,119,
26.4289,,Surface,1,Image 1,1,Class A,131,
1.88562,,Surface,1,Image 1,1,Class A,178,
