
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,All touching neurons,ID,
382.371,20711.4,1405.09,µm,Surface,Position,1,Class A,0,
332.668,20743,1405.29,µm,Surface,Position,1,Class A,4,
299.07,20703.7,1403.12,µm,Surface,Position,1,Class A,119,
307.97,20669.4,1404.51,µm,Surface,Position,1,Class A,131,
317.75,20680.6,1404.58,µm,Surface,Position,1,Class A,178,
