
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,All touching neurons,ID,
67655,,Surface,2,Image 1,1,Class A,0,
108504,,Surface,2,Image 1,1,Class A,4,
88576,,Surface,2,Image 1,1,Class A,119,
140469,,Surface,2,Image 1,1,Class A,131,
60,,Surface,2,Image 1,1,Class A,178,
