
Spine Mean Diameter
 ==================== 
Spine Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.225864,µm,Spine,1,1,1,100000000,610000002086,
0.182273,µm,Spine,5,3,1,100000000,610000002100,
0.195224,µm,Spine,6,3,1,100000000,610000002109,
0.181926,µm,Spine,6,2,1,100000000,610000002123,
0.206101,µm,Spine,6,3,1,100000000,610000002141,
0.182608,µm,Spine,1,1,1,100000000,610000002157,
0.218676,µm,Spine,5,3,1,100000000,610000002170,
0.181391,µm,Spine,6,2,1,100000000,610000002191,
0.172799,µm,Spine,6,1,1,100000000,610000002208,
0.217285,µm,Spine,1,1,1,100000000,610000002223,
0.180797,µm,Spine,0,1,1,100000000,610000002234,
0.169188,µm,Spine,6,1,1,100000000,610000002250,
0.206598,µm,Spine,1,1,1,100000000,610000002268,
0.209962,µm,Spine,1,1,1,100000000,610000002291,
0.208493,µm,Spine,1,1,1,100000000,610000002313,
0.180653,µm,Spine,1,1,1,100000000,610000002331,
0.19634,µm,Spine,1,1,1,100000000,610000002353,
0.181127,µm,Spine,1,1,1,100000000,610000002371,
0.206979,µm,Spine,1,1,1,100000000,610000002390,
0.178054,µm,Spine,1,1,1,100000000,610000002401,
0.180177,µm,Spine,7,3,1,100000000,610000002414,
0.180069,µm,Spine,5,3,1,100000000,610000002424,
0.200555,µm,Spine,1,1,1,100000000,610000002440,
0.183935,µm,Spine,0,1,1,100000000,610000002459,
0.248238,µm,Spine,0,1,1,100000000,610000002476,
0.182697,µm,Spine,1,1,1,100000000,610000002494,
0.200259,µm,Spine,1,1,1,100000000,610000002514,
0.200595,µm,Spine,1,1,1,100000000,610000002530,
0.205371,µm,Spine,6,2,1,100000000,610000002540,
0.186272,µm,Spine,1,1,1,100000000,610000002552,
0.219745,µm,Spine,1,1,1,100000000,610000002573,
0.195174,µm,Spine,1,1,1,100000000,610000002588,
0.178671,µm,Spine,1,1,1,100000000,610000002596,
0.17723,µm,Spine,5,2,1,100000000,610000002615,
0.182253,µm,Spine,5,3,1,100000000,610000002636,
0.179795,µm,Spine,5,3,1,100000000,610000002645,
0.179465,µm,Spine,0,1,1,100000000,610000002658,
0.229199,µm,Spine,1,1,1,100000000,610000002676,
0.213959,µm,Spine,6,3,1,100000000,610000002691,
0.218889,µm,Spine,6,3,1,100000000,610000002707,
0.187998,µm,Spine,1,1,1,100000000,610000002721,
0.190581,µm,Spine,6,2,1,100000000,610000002734,
0.178757,µm,Spine,1,1,1,100000000,610000002752,
0.204319,µm,Spine,6,3,1,100000000,610000002757,
0.209077,µm,Spine,5,3,1,100000000,610000002775,
0.22976,µm,Spine,0,1,1,100000000,610000002789,
0.207585,µm,Spine,1,1,1,100000000,610000002805,
0.214452,µm,Spine,1,1,1,100000000,610000002821,
0.236785,µm,Spine,6,3,1,100000000,610000002826,
0.179882,µm,Spine,5,3,1,100000000,610000002832,
0.189119,µm,Spine,0,1,1,100000000,610000002847,
0.18383,µm,Spine,6,2,1,100000000,610000002865,
0.178758,µm,Spine,5,2,1,100000000,610000002885,
0.212683,µm,Spine,6,3,1,100000000,610000002889,
0.248606,µm,Spine,6,3,1,100000000,610000002908,
0.177586,µm,Spine,1,1,1,100000000,610000002924,
0.232905,µm,Spine,1,1,1,100000000,610000002941,
0.205268,µm,Spine,1,1,1,100000000,610000002948,
0.1625,µm,Spine,1,1,1,100000000,610000002955,
0.188253,µm,Spine,1,1,1,100000000,610000002966,
0.187399,µm,Spine,5,3,1,100000000,610000002986,
0.182429,µm,Spine,5,3,1,100000000,610000002993,
0.174503,µm,Spine,5,2,1,100000000,610000003011,
0.186465,µm,Spine,6,3,1,100000000,610000003017,
0.249929,µm,Spine,6,3,1,100000000,610000003034,
0.200972,µm,Spine,0,1,1,100000000,610000003039,
0.230235,µm,Spine,6,3,1,100000000,610000003050,
0.202538,µm,Spine,5,3,1,100000000,610000003060,
0.230235,µm,Spine,6,3,1,100000000,610000003071,
0.183292,µm,Spine,1,1,1,100000000,610000003077,
0.185713,µm,Spine,0,1,1,100000000,610000003093,
0.201319,µm,Spine,5,3,1,100000000,610000003107,
0.216795,µm,Spine,0,1,1,100000000,610000003124,
0.184148,µm,Spine,0,1,1,100000000,610000003138,
0.203727,µm,Spine,1,1,1,100000000,610000003148,
0.188611,µm,Spine,0,1,1,100000000,610000003168,
0.236102,µm,Spine,6,3,1,100000000,610000003183,
0.178283,µm,Spine,6,3,1,100000000,610000003189,
0.266142,µm,Spine,1,1,1,100000000,610000003207,
0.187807,µm,Spine,5,3,1,100000000,610000003224,
0.202072,µm,Spine,1,1,1,100000000,610000003232,
0.27315,µm,Spine,1,1,1,100000000,610000003249,
0.180498,µm,Spine,0,1,1,100000000,610000003266,
0.188063,µm,Spine,5,3,1,100000000,610000003282,
0.17708,µm,Spine,0,1,1,100000000,610000003298,
0.187842,µm,Spine,1,1,1,100000000,610000003313,
0.183313,µm,Spine,6,2,1,100000000,610000003326,
0.184741,µm,Spine,1,1,1,100000000,610000003341,
0.207633,µm,Spine,0,1,1,100000000,610000003348,
0.195527,µm,Spine,0,1,1,100000000,610000003364,
0.196498,µm,Spine,5,3,1,100000000,610000003386,
0.18968,µm,Spine,5,3,1,100000000,610000003401,
0.19213,µm,Spine,0,1,1,100000000,610000003408,
0.193867,µm,Spine,0,1,1,100000000,610000003414,
0.187435,µm,Spine,0,1,1,100000000,610000003429,
0.17627,µm,Spine,0,1,1,100000000,610000003446,
0.178308,µm,Spine,0,1,1,100000000,610000003461,
0.198462,µm,Spine,0,1,1,100000000,610000003481,
0.180738,µm,Spine,5,3,1,100000000,610000003490,
0.190987,µm,Spine,1,1,1,100000000,610000003501,
0.232308,µm,Spine,0,1,1,100000000,610000003514,
0.217124,µm,Spine,1,2,1,100000000,610000003521,
0.2233,µm,Spine,0,1,1,100000000,610000003531,
0.176942,µm,Spine,5,2,1,100000000,610000003544,
0.194445,µm,Spine,5,2,1,100000000,610000003554,
0.200886,µm,Spine,1,1,1,100000000,610000003560,
0.171245,µm,Spine,6,1,1,100000000,610000003572,
0.209872,µm,Spine,0,1,1,100000000,610000003584,
0.1987,µm,Spine,0,1,1,100000000,610000003589,
0.177991,µm,Spine,0,1,1,100000000,610000003604,
0.18496,µm,Spine,5,2,1,100000000,610000003614,
0.203277,µm,Spine,0,1,1,100000000,610000003619,
0.266451,µm,Spine,1,1,1,100000000,610000003635,
0.213673,µm,Spine,0,1,1,100000000,610000003647,
0.211928,µm,Spine,1,1,1,100000000,610000003653,
0.201582,µm,Spine,0,1,1,100000000,610000003663,
0.184597,µm,Spine,6,3,1,100000000,610000003667,
0.203327,µm,Spine,0,1,1,100000000,610000003684,
0.208601,µm,Spine,0,1,1,100000000,610000003695,
0.22938,µm,Spine,0,1,1,100000000,610000003704,
0.293081,µm,Spine,1,1,1,100000000,610000003721,
0.213843,µm,Spine,5,3,1,100000000,610000003733,
0.181147,µm,Spine,5,2,1,100000000,610000003744,
0.184851,µm,Spine,5,3,1,100000000,610000003753,
0.18235,µm,Spine,0,1,1,100000000,610000003768,
0.193691,µm,Spine,1,1,1,100000000,610000003780,
0.296959,µm,Spine,1,1,1,100000000,610000003796,
0.175132,µm,Spine,6,1,1,100000000,610000003804,
0.217513,µm,Spine,0,1,1,100000000,610000003815,
0.19202,µm,Spine,0,1,1,100000000,610000003825,
0.22903,µm,Spine,6,2,1,100000000,610000003829,
0.207877,µm,Spine,5,3,1,100000000,610000003846,
0.280311,µm,Spine,1,1,1,100000000,610000003860,
0.236592,µm,Spine,5,3,1,100000000,610000003865,
0.205941,µm,Spine,5,3,1,100000000,610000003882,
0.31408,µm,Spine,1,1,1,100000000,610000003903,
0.182412,µm,Spine,5,3,1,100000000,610000003912,
0.190194,µm,Spine,1,1,1,100000000,610000003919,
0.195182,µm,Spine,5,3,1,100000000,610000003935,
0.181919,µm,Spine,5,2,1,100000000,610000003945,
0.316249,µm,Spine,1,1,1,100000000,610000003965,
0.180881,µm,Spine,5,2,1,100000000,610000003975,
0.175132,µm,Spine,6,1,1,100000000,610000003983,
0.209823,µm,Spine,0,1,1,100000000,610000003991,
0.194051,µm,Spine,5,3,1,100000000,610000004006,
0.233832,µm,Spine,0,1,1,100000000,610000004013,
0.301629,µm,Spine,1,1,1,100000000,610000004026,
0.203439,µm,Spine,4,2,1,100000000,610000004030,
0.316693,µm,Spine,1,1,1,100000000,610000004049,
0.178971,µm,Spine,5,3,1,100000000,610000004055,
0.187097,µm,Spine,0,1,1,100000000,610000004065,
0.182719,µm,Spine,5,2,1,100000000,610000004074,
0.301916,µm,Spine,1,1,1,100000000,610000004085,
0.248923,µm,Spine,0,1,1,100000000,610000004090,
0.309915,µm,Spine,5,3,1,100000000,610000004094,
0.188226,µm,Spine,0,1,1,100000000,610000004106,
0.18556,µm,Spine,5,3,1,100000000,610000004110,
0.293469,µm,Spine,1,1,1,100000000,610000004119,
0.201129,µm,Spine,1,1,1,100000000,610000004126,
0.29797,µm,Spine,6,3,1,100000000,610000004131,
0.253372,µm,Spine,1,1,1,100000000,610000004139,
0.250683,µm,Spine,1,1,1,100000000,610000004147,
0.208381,µm,Spine,6,2,1,100000000,610000004154,
0.19858,µm,Spine,0,1,1,100000000,610000004162,
0.259375,µm,Spine,1,1,1,100000000,610000004174,
0.193988,µm,Spine,1,1,1,100000000,610000004180,
0.195209,µm,Spine,5,3,1,100000000,610000004190,
0.207389,µm,Spine,1,1,1,100000000,610000004196,
0.2462,µm,Spine,6,3,1,100000000,610000004199,
0.18739,µm,Spine,5,3,1,100000000,610000004206,
0.195753,µm,Spine,5,3,1,100000000,610000004215,
0.298039,µm,Spine,1,1,1,100000000,610000004224,
0.193286,µm,Spine,0,1,1,100000000,610000004233,
0.277795,µm,Spine,1,1,1,100000000,610000004241,
0.190945,µm,Spine,5,3,1,100000000,610000004247,
0.268234,µm,Spine,1,1,1,100000000,610000004254,
0.191639,µm,Spine,6,2,1,100000000,610000004263,
0.206135,µm,Spine,0,1,1,100000000,610000004268,
0.266939,µm,Spine,1,1,1,100000000,610000004271,
0.221981,µm,Spine,6,2,1,100000000,610000004276,
0.213442,µm,Spine,7,3,1,100000000,610000004283,
0.185123,µm,Spine,0,1,1,100000000,610000004293,
0.194117,µm,Spine,0,1,1,100000000,610000004300,
0.203481,µm,Spine,6,2,1,100000000,610000004307,
0.199516,µm,Spine,0,1,1,100000000,610000004313,
0.216947,µm,Spine,0,1,1,100000000,610000004321,
0.193482,µm,Spine,0,1,1,100000000,610000004328,
0.222669,µm,Spine,1,1,1,100000000,610000004331,
0.224306,µm,Spine,1,1,1,100000000,610000004335,
0.21738,µm,Spine,1,1,1,100000000,610000004339,
0.239327,µm,Spine,1,1,1,100000000,610000004341,
0.234236,µm,Spine,1,1,1,100000000,610000004343,
0.207872,µm,Spine,0,1,1,100000000,610000004349,
0.228491,µm,Spine,0,1,1,100000000,610000004351,
0.225711,µm,Spine,1,1,1,100000000,610000004354,
0.230868,µm,Spine,1,1,1,100000000,610000004358,
0.216805,µm,Spine,5,3,1,100000000,610000004360,
0.19773,µm,Spine,0,1,1,100000000,610000004366,
0.209535,µm,Spine,5,3,1,100000000,610000004369,
0.267069,µm,Spine,3,1,1,100000000,610000004371,
0.24126,µm,Spine,1,1,1,100000000,610000004373,
0.230492,µm,Spine,0,1,1,100000000,610000004377,
0.205557,µm,Spine,5,3,1,100000000,610000004380,
0.202016,µm,Spine,1,1,1,100000000,610000004383,
0.26551,µm,Spine,1,1,1,100000000,610000004385,
0.249771,µm,Spine,0,1,1,100000000,610000004387,
0.224463,µm,Spine,0,1,1,100000000,610000004390,
0.253942,µm,Spine,5,3,1,100000000,610000004395,
0.228039,µm,Spine,6,3,1,100000000,610000004396,
0.272545,µm,Spine,6,2,1,100000000,610000004397,
0.267242,µm,Spine,1,1,1,100000000,610000004398,
0.272776,µm,Spine,1,1,1,100000000,610000004399,
