
Segment Intensity Max Ch=2 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
82,,Segment,2,5,Image 1,3,1,100000000,510000000123,
76,,Segment,2,4,Image 1,2,1,100000000,510000000139,
87,,Segment,2,3,Image 1,1,1,100000000,510000000166,
117,,Segment,2,2,Image 1,1,1,100000000,510000000195,
117,,Segment,2,1,Image 1,1,1,100000000,510000000204,
95,,Segment,2,0,Image 1,1,1,100000000,510000000248,
93,,Segment,2,7,Image 1,3,1,100000000,510000000264,
74,,Segment,2,6,Image 1,2,1,100000000,510000000293,
78,,Segment,2,5,Image 1,2,1,100000000,510000000317,
71,,Segment,2,4,Image 1,1,1,100000000,510000000338,
100,,Segment,2,7,Image 1,2,1,100000000,510000000345,
112,,Segment,2,6,Image 1,3,1,100000000,510000000374,
88,,Segment,2,6,Image 1,1,1,100000000,510000000415,
46,,Segment,2,5,Image 1,1,1,100000000,510000000418,
124,,Segment,2,6,Image 1,2,1,100000000,510000000427,
91,,Segment,2,5,Image 1,2,1,100000000,510000000435,
113,,Segment,2,3,Image 1,2,1,100000000,510000000441,
124,,Segment,2,2,Image 1,2,1,100000000,510000000446,
100,,Segment,2,1,Image 1,2,1,100000000,510000000455,
103,,Segment,2,1,Image 1,1,1,100000000,510000000588,
103,,Segment,2,0,Image 1,1,1,100000000,510000000628,
148,,Segment,2,1,Image 1,2,1,100000000,510000000642,
137,,Segment,2,0,Image 1,1,1,100000000,510000000654,
