
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
21638.9,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21638.8,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21638.8,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21638.8,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21638.8,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21638.8,µm,Soma,6,Soma Center of Image Mass,Image 1,1,100000000,800000000,
