
Spine Center Intensity Mean Ch=5 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
7.8,,Spine,5,1,Image 1,2,1,100000000,610000000707,
0.809524,,Spine,5,1,Image 1,1,1,100000000,610000000727,
2.61111,,Spine,5,5,Image 1,3,1,100000000,610000000744,
5.72727,,Spine,5,6,Image 1,2,1,100000000,610000000765,
4.55172,,Spine,5,5,Image 1,2,1,100000000,610000000793,
12.5357,,Spine,5,5,Image 1,3,1,100000000,610000000820,
7.85185,,Spine,5,7,Image 1,3,1,100000000,610000000846,
4.42857,,Spine,5,1,Image 1,1,1,100000000,610000000866,
12.6667,,Spine,5,1,Image 1,2,1,100000000,610000000883,
5.54545,,Spine,5,0,Image 1,1,1,100000000,610000000904,
12.3125,,Spine,5,1,Image 1,2,1,100000000,610000000919,
12.5556,,Spine,5,6,Image 1,3,1,100000000,610000000936,
9.15,,Spine,5,5,Image 1,3,1,100000000,610000000955,
3.85714,,Spine,5,6,Image 1,2,1,100000000,610000000961,
4.58824,,Spine,5,1,Image 1,1,1,100000000,610000000977,
7.875,,Spine,5,5,Image 1,3,1,100000000,610000000992,
4.29412,,Spine,5,5,Image 1,2,1,100000000,610000001008,
4.9375,,Spine,5,0,Image 1,1,1,100000000,610000001023,
0,,Spine,5,1,Image 1,1,1,100000000,610000001040,
7.61905,,Spine,5,7,Image 1,3,1,100000000,610000001060,
4.26667,,Spine,5,5,Image 1,3,1,100000000,610000001074,
3.3871,,Spine,5,5,Image 1,2,1,100000000,610000001104,
3.10714,,Spine,5,1,Image 1,1,1,100000000,610000001131,
13.7059,,Spine,5,6,Image 1,3,1,100000000,610000001147,
9.73684,,Spine,5,1,Image 1,1,1,100000000,610000001165,
10.8214,,Spine,5,1,Image 1,1,1,100000000,610000001192,
12.9444,,Spine,5,1,Image 1,1,1,100000000,610000001209,
5,,Spine,5,5,Image 1,2,1,100000000,610000001230,
15.6667,,Spine,5,6,Image 1,3,1,100000000,610000001247,
13.0769,,Spine,5,6,Image 1,3,1,100000000,610000001259,
11.85,,Spine,5,6,Image 1,3,1,100000000,610000001278,
6.70588,,Spine,5,6,Image 1,2,1,100000000,610000001294,
19.8889,,Spine,5,6,Image 1,2,1,100000000,610000001320,
18.6364,,Spine,5,1,Image 1,1,1,100000000,610000001341,
10,,Spine,5,0,Image 1,1,1,100000000,610000001357,
13.9375,,Spine,5,6,Image 1,3,1,100000000,610000001372,
18.5217,,Spine,5,6,Image 1,2,1,100000000,610000001394,
5,,Spine,5,0,Image 1,1,1,100000000,610000001412,
4.28571,,Spine,5,0,Image 1,1,1,100000000,610000001428,
12.7857,,Spine,5,6,Image 1,3,1,100000000,610000001441,
10,,Spine,5,0,Image 1,1,1,100000000,610000001454,
2.75,,Spine,5,5,Image 1,3,1,100000000,610000001473,
14.8846,,Spine,5,1,Image 1,1,1,100000000,610000001498,
0,,Spine,5,5,Image 1,3,1,100000000,610000001503,
10.6667,,Spine,5,1,Image 1,1,1,100000000,610000001514,
10.9615,,Spine,5,6,Image 1,2,1,100000000,610000001539,
16.0667,,Spine,5,1,Image 1,1,1,100000000,610000001553,
8.2381,,Spine,5,6,Image 1,2,1,100000000,610000001573,
