
Spine Number of Voxel Ch=2 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
358,,Spine,2,1,Image 1,2,1,100000000,610000000707,
153,,Spine,2,1,Image 1,1,1,100000000,610000000727,
177,,Spine,2,5,Image 1,3,1,100000000,610000000744,
190,,Spine,2,6,Image 1,2,1,100000000,610000000765,
187,,Spine,2,5,Image 1,2,1,100000000,610000000793,
260,,Spine,2,5,Image 1,3,1,100000000,610000000820,
205,,Spine,2,7,Image 1,3,1,100000000,610000000846,
183,,Spine,2,1,Image 1,1,1,100000000,610000000866,
350,,Spine,2,1,Image 1,2,1,100000000,610000000883,
230,,Spine,2,0,Image 1,1,1,100000000,610000000904,
269,,Spine,2,1,Image 1,2,1,100000000,610000000919,
232,,Spine,2,6,Image 1,3,1,100000000,610000000936,
197,,Spine,2,5,Image 1,3,1,100000000,610000000955,
123,,Spine,2,6,Image 1,2,1,100000000,610000000961,
159,,Spine,2,1,Image 1,1,1,100000000,610000000977,
181,,Spine,2,5,Image 1,3,1,100000000,610000000992,
134,,Spine,2,5,Image 1,2,1,100000000,610000001008,
167,,Spine,2,0,Image 1,1,1,100000000,610000001023,
161,,Spine,2,1,Image 1,1,1,100000000,610000001040,
166,,Spine,2,7,Image 1,3,1,100000000,610000001060,
287,,Spine,2,5,Image 1,3,1,100000000,610000001074,
209,,Spine,2,5,Image 1,2,1,100000000,610000001104,
197,,Spine,2,1,Image 1,1,1,100000000,610000001131,
220,,Spine,2,6,Image 1,3,1,100000000,610000001147,
153,,Spine,2,1,Image 1,1,1,100000000,610000001165,
310,,Spine,2,1,Image 1,1,1,100000000,610000001192,
150,,Spine,2,1,Image 1,1,1,100000000,610000001209,
206,,Spine,2,5,Image 1,2,1,100000000,610000001230,
220,,Spine,2,6,Image 1,3,1,100000000,610000001247,
190,,Spine,2,6,Image 1,3,1,100000000,610000001259,
279,,Spine,2,6,Image 1,3,1,100000000,610000001278,
198,,Spine,2,6,Image 1,2,1,100000000,610000001294,
246,,Spine,2,6,Image 1,2,1,100000000,610000001320,
245,,Spine,2,1,Image 1,1,1,100000000,610000001341,
200,,Spine,2,0,Image 1,1,1,100000000,610000001357,
193,,Spine,2,6,Image 1,3,1,100000000,610000001372,
190,,Spine,2,6,Image 1,2,1,100000000,610000001394,
248,,Spine,2,0,Image 1,1,1,100000000,610000001412,
92,,Spine,2,0,Image 1,1,1,100000000,610000001428,
179,,Spine,2,6,Image 1,3,1,100000000,610000001441,
190,,Spine,2,0,Image 1,1,1,100000000,610000001454,
153,,Spine,2,5,Image 1,3,1,100000000,610000001473,
317,,Spine,2,1,Image 1,1,1,100000000,610000001498,
105,,Spine,2,5,Image 1,3,1,100000000,610000001503,
128,,Spine,2,1,Image 1,1,1,100000000,610000001514,
220,,Spine,2,6,Image 1,2,1,100000000,610000001539,
163,,Spine,2,1,Image 1,1,1,100000000,610000001553,
171,,Spine,2,6,Image 1,2,1,100000000,610000001573,
321,,Spine,2,1,Image 1,1,1,100000000,610000001597,
129,,Spine,2,5,Image 1,3,1,100000000,610000001608,
146,,Spine,2,0,Image 1,1,1,100000000,610000001622,
246,,Spine,2,5,Image 1,3,1,100000000,610000001645,
301,,Spine,2,5,Image 1,3,1,100000000,610000001662,
264,,Spine,2,6,Image 1,2,1,100000000,610000001677,
332,,Spine,2,5,Image 1,3,1,100000000,610000001693,
153,,Spine,2,0,Image 1,1,1,100000000,610000001708,
137,,Spine,2,5,Image 1,3,1,100000000,610000001718,
213,,Spine,2,0,Image 1,1,1,100000000,610000001743,
195,,Spine,2,5,Image 1,3,1,100000000,610000001763,
166,,Spine,2,0,Image 1,1,1,100000000,610000001774,
509,,Spine,2,1,Image 1,1,1,100000000,610000001795,
102,,Spine,2,5,Image 1,3,1,100000000,610000001801,
132,,Spine,2,5,Image 1,3,1,100000000,610000001816,
284,,Spine,2,5,Image 1,3,1,100000000,610000001830,
253,,Spine,2,5,Image 1,3,1,100000000,610000001845,
251,,Spine,2,1,Image 1,1,1,100000000,610000001867,
227,,Spine,2,1,Image 1,1,1,100000000,610000001888,
277,,Spine,2,5,Image 1,3,1,100000000,610000001903,
194,,Spine,2,1,Image 1,1,1,100000000,610000001924,
201,,Spine,2,6,Image 1,1,1,100000000,610000001942,
353,,Spine,2,1,Image 1,1,1,100000000,610000001960,
467,,Spine,2,1,Image 1,1,1,100000000,610000001984,
288,,Spine,2,1,Image 1,1,1,100000000,610000002006,
337,,Spine,2,1,Image 1,1,1,100000000,610000002024,
265,,Spine,2,0,Image 1,1,1,100000000,610000002045,
250,,Spine,2,1,Image 1,1,1,100000000,610000002067,
293,,Spine,2,1,Image 1,1,1,100000000,610000002086,
169,,Spine,2,5,Image 1,3,1,100000000,610000002100,
121,,Spine,2,6,Image 1,3,1,100000000,610000002109,
157,,Spine,2,6,Image 1,2,1,100000000,610000002123,
324,,Spine,2,6,Image 1,3,1,100000000,610000002141,
163,,Spine,2,1,Image 1,1,1,100000000,610000002157,
223,,Spine,2,5,Image 1,3,1,100000000,610000002170,
209,,Spine,2,6,Image 1,2,1,100000000,610000002191,
161,,Spine,2,6,Image 1,1,1,100000000,610000002208,
257,,Spine,2,1,Image 1,1,1,100000000,610000002223,
138,,Spine,2,0,Image 1,1,1,100000000,610000002234,
149,,Spine,2,6,Image 1,1,1,100000000,610000002250,
260,,Spine,2,1,Image 1,1,1,100000000,610000002268,
296,,Spine,2,1,Image 1,1,1,100000000,610000002291,
289,,Spine,2,1,Image 1,1,1,100000000,610000002313,
178,,Spine,2,1,Image 1,1,1,100000000,610000002331,
254,,Spine,2,1,Image 1,1,1,100000000,610000002353,
149,,Spine,2,1,Image 1,1,1,100000000,610000002371,
272,,Spine,2,1,Image 1,1,1,100000000,610000002390,
118,,Spine,2,1,Image 1,1,1,100000000,610000002401,
156,,Spine,2,7,Image 1,3,1,100000000,610000002414,
125,,Spine,2,5,Image 1,3,1,100000000,610000002424,
220,,Spine,2,1,Image 1,1,1,100000000,610000002440,
209,,Spine,2,0,Image 1,1,1,100000000,610000002459,
291,,Spine,2,0,Image 1,1,1,100000000,610000002476,
154,,Spine,2,1,Image 1,1,1,100000000,610000002494,
262,,Spine,2,1,Image 1,1,1,100000000,610000002514,
220,,Spine,2,1,Image 1,1,1,100000000,610000002530,
164,,Spine,2,6,Image 1,2,1,100000000,610000002540,
149,,Spine,2,1,Image 1,1,1,100000000,610000002552,
286,,Spine,2,1,Image 1,1,1,100000000,610000002573,
200,,Spine,2,1,Image 1,1,1,100000000,610000002588,
105,,Spine,2,1,Image 1,1,1,100000000,610000002596,
168,,Spine,2,5,Image 1,2,1,100000000,610000002615,
181,,Spine,2,5,Image 1,3,1,100000000,610000002636,
121,,Spine,2,5,Image 1,3,1,100000000,610000002645,
190,,Spine,2,0,Image 1,1,1,100000000,610000002658,
283,,Spine,2,1,Image 1,1,1,100000000,610000002676,
305,,Spine,2,6,Image 1,3,1,100000000,610000002691,
330,,Spine,2,6,Image 1,3,1,100000000,610000002707,
161,,Spine,2,1,Image 1,1,1,100000000,610000002721,
164,,Spine,2,6,Image 1,2,1,100000000,610000002734,
152,,Spine,2,1,Image 1,1,1,100000000,610000002752,
106,,Spine,2,6,Image 1,3,1,100000000,610000002757,
255,,Spine,2,5,Image 1,3,1,100000000,610000002775,
221,,Spine,2,0,Image 1,1,1,100000000,610000002789,
245,,Spine,2,1,Image 1,1,1,100000000,610000002805,
325,,Spine,2,1,Image 1,1,1,100000000,610000002821,
124,,Spine,2,6,Image 1,3,1,100000000,610000002826,
80,,Spine,2,5,Image 1,3,1,100000000,610000002832,
221,,Spine,2,0,Image 1,1,1,100000000,610000002847,
190,,Spine,2,6,Image 1,2,1,100000000,610000002865,
211,,Spine,2,5,Image 1,2,1,100000000,610000002885,
92,,Spine,2,6,Image 1,3,1,100000000,610000002889,
447,,Spine,2,6,Image 1,3,1,100000000,610000002908,
136,,Spine,2,1,Image 1,1,1,100000000,610000002924,
286,,Spine,2,1,Image 1,1,1,100000000,610000002941,
102,,Spine,2,1,Image 1,1,1,100000000,610000002948,
53,,Spine,2,0,Image 1,1,1,100000000,610000002955,
113,,Spine,2,1,Image 1,1,1,100000000,610000002966,
205,,Spine,2,5,Image 1,3,1,100000000,610000002986,
79,,Spine,2,5,Image 1,3,1,100000000,610000002993,
183,,Spine,2,5,Image 1,2,1,100000000,610000003011,
95,,Spine,2,6,Image 1,3,1,100000000,610000003017,
392,,Spine,2,6,Image 1,3,1,100000000,610000003034,
93,,Spine,2,0,Image 1,1,1,100000000,610000003039,
280,,Spine,2,6,Image 1,3,1,100000000,610000003050,
241,,Spine,2,5,Image 1,3,1,100000000,610000003060,
285,,Spine,2,6,Image 1,3,1,100000000,610000003071,
94,,Spine,2,1,Image 1,1,1,100000000,610000003077,
236,,Spine,2,0,Image 1,1,1,100000000,610000003093,
201,,Spine,2,5,Image 1,3,1,100000000,610000003107,
209,,Spine,2,0,Image 1,1,1,100000000,610000003124,
232,,Spine,2,0,Image 1,1,1,100000000,610000003138,
175,,Spine,2,1,Image 1,1,1,100000000,610000003148,
243,,Spine,2,0,Image 1,1,1,100000000,610000003168,
310,,Spine,2,6,Image 1,3,1,100000000,610000003183,
83,,Spine,2,6,Image 1,3,1,100000000,610000003189,
489,,Spine,2,1,Image 1,1,1,100000000,610000003207,
182,,Spine,2,5,Image 1,3,1,100000000,610000003224,
142,,Spine,2,1,Image 1,1,1,100000000,610000003232,
496,,Spine,2,1,Image 1,1,1,100000000,610000003249,
174,,Spine,2,0,Image 1,1,1,100000000,610000003266,
165,,Spine,2,5,Image 1,3,1,100000000,610000003282,
196,,Spine,2,0,Image 1,1,1,100000000,610000003298,
145,,Spine,2,1,Image 1,1,1,100000000,610000003313,
140,,Spine,2,6,Image 1,2,1,100000000,610000003326,
167,,Spine,2,1,Image 1,1,1,100000000,610000003341,
136,,Spine,2,0,Image 1,1,1,100000000,610000003348,
261,,Spine,2,0,Image 1,1,1,100000000,610000003364,
248,,Spine,2,5,Image 1,3,1,100000000,610000003386,
162,,Spine,2,5,Image 1,3,1,100000000,610000003401,
129,,Spine,2,0,Image 1,1,1,100000000,610000003408,
101,,Spine,2,0,Image 1,1,1,100000000,610000003414,
225,,Spine,2,0,Image 1,1,1,100000000,610000003429,
182,,Spine,2,0,Image 1,1,1,100000000,610000003446,
179,,Spine,2,0,Image 1,1,1,100000000,610000003461,
