
Soma Position
 ==================== 
Soma Position X,Soma Position Y,Soma Position Z,Unit,Category,Collection,Time,FilamentID,ID,
-14494.9,23475.9,1430.87,µm,Soma,Soma Position,1,100000000,800000000,
-14503.8,23495.3,1431.38,µm,Soma,Soma Position,1,100000001,800000001,
