
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
618311,,Surface,2,Image 1,1,0,
1.6131e+06,,Surface,2,Image 1,1,1,
