
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-14494.8,23479.3,1430.39,µm,Surface,Position,1,0,
-14505.7,23495.5,1431.38,µm,Surface,Position,1,1,
