
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
4.37554,,Surface,4,Image 1,1,0,
2.66613,,Surface,4,Image 1,1,1,
