
Spine Attachment Pt Position Y
 ==================== 
Spine Attachment Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
23492.3,µm,Spine,Spine Attachment Pt Position,5,2,1,100000001,610000000951,
23498.3,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000000953,
23495.5,µm,Spine,Spine Attachment Pt Position,3,2,1,100000001,610000000960,
23501.5,µm,Spine,Spine Attachment Pt Position,3,2,1,100000001,610000000964,
23496.3,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000000969,
23483,µm,Spine,Spine Attachment Pt Position,6,2,1,100000000,610000000976,
23496.3,µm,Spine,Spine Attachment Pt Position,3,2,1,100000001,610000000995,
23478.4,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000001014,
23478.7,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000001017,
23483.5,µm,Spine,Spine Attachment Pt Position,6,3,1,100000000,610000001023,
23477.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000001034,
23495.3,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000001098,
23479.9,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001098,
23494.9,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000001099,
23482.2,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000001099,
23494.2,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000001100,
23483.4,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000001100,
23494,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000001101,
23483.1,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000001101,
23491.8,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000001102,
23482.9,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000001102,
23478,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000001103,
23491.5,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000001103,
23477.9,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001104,
23491.5,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000001104,
23479.2,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000001105,
23496.1,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001105,
23498.5,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001106,
23499.4,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001107,
23495.3,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000001109,
23495.4,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000001110,
23495.5,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000001111,
23496.3,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000001112,
23493.9,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001113,
23493.6,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001114,
