
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1431.37,µm,Segment,Segment Position,7,3,1,100000001,510000000012,
1431.87,µm,Segment,Segment Position,6,2,1,100000001,510000000025,
1431.84,µm,Segment,Segment Position,5,2,1,100000001,510000000043,
1431.68,µm,Segment,Segment Position,4,1,1,100000001,510000000068,
1431.58,µm,Segment,Segment Position,3,1,1,100000001,510000000074,
1431.29,µm,Segment,Segment Position,2,1,1,100000001,510000000082,
1430.71,µm,Segment,Segment Position,1,1,1,100000001,510000000107,
1430.73,µm,Segment,Segment Position,0,1,1,100000001,510000000120,
1430.55,µm,Segment,Segment Position,7,4,1,100000000,510000000147,
1429.9,µm,Segment,Segment Position,6,3,1,100000000,510000000162,
1429.72,µm,Segment,Segment Position,3,1,1,100000000,510000000173,
1429.78,µm,Segment,Segment Position,2,1,1,100000000,510000000190,
1429.63,µm,Segment,Segment Position,1,1,1,100000000,510000000197,
1429.82,µm,Segment,Segment Position,0,1,1,100000000,510000000246,
1430.08,µm,Segment,Segment Position,6,2,1,100000000,510000000296,
1430.3,µm,Segment,Segment Position,7,3,1,100000000,510000000301,
1431.86,µm,Segment,Segment Position,8,3,1,100000001,510000000303,
1432,µm,Segment,Segment Position,7,2,1,100000001,510000000316,
1431.36,µm,Segment,Segment Position,6,3,1,100000001,510000000327,
1429.94,µm,Segment,Segment Position,4,3,1,100000001,510000000329,
1430.2,µm,Segment,Segment Position,3,3,1,100000001,510000000343,
1430.4,µm,Segment,Segment Position,2,2,1,100000001,510000000353,
1430.5,µm,Segment,Segment Position,1,1,1,100000001,510000000393,
1430.71,µm,Segment,Segment Position,0,1,1,100000001,510000000425,
1430.07,µm,Segment,Segment Position,4,4,1,100000001,510000000453,
1429.87,µm,Segment,Segment Position,4,2,1,100000000,510000000455,
1430.75,µm,Segment,Segment Position,3,2,1,100000001,510000000469,
1429.97,µm,Segment,Segment Position,5,1,1,100000000,510000000471,
1432.32,µm,Segment,Segment Position,6,1,1,100000001,510000000487,
1429.7,µm,Segment,Segment Position,2,1,1,100000001,510000000499,
1429.66,µm,Segment,Segment Position,3,2,1,100000000,510000000501,
1432.02,µm,Segment,Segment Position,6,2,1,100000001,510000000503,
1431.97,µm,Segment,Segment Position,3,2,1,100000001,510000000531,
1429.73,µm,Segment,Segment Position,2,2,1,100000000,510000000536,
1431.89,µm,Segment,Segment Position,4,2,1,100000001,510000000547,
1430.29,µm,Segment,Segment Position,1,2,1,100000001,510000000549,
1431.05,µm,Segment,Segment Position,2,1,1,100000000,510000000563,
1430.97,µm,Segment,Segment Position,1,1,1,100000000,510000000568,
1430.77,µm,Segment,Segment Position,0,1,1,100000000,510000000573,
1429.46,µm,Segment,Segment Position,1,2,1,100000000,510000000605,
1430.8,µm,Segment,Segment Position,2,2,1,100000000,510000000610,
1430.88,µm,Segment,Segment Position,2,2,1,100000001,510000000614,
1430.25,µm,Segment,Segment Position,1,2,1,100000000,510000000621,
1430.47,µm,Segment,Segment Position,0,1,1,100000000,510000000628,
1432.43,µm,Segment,Segment Position,3,3,1,100000001,510000000632,
1432.11,µm,Segment,Segment Position,2,2,1,100000001,510000000635,
1431.67,µm,Segment,Segment Position,1,1,1,100000001,510000000640,
1431.37,µm,Segment,Segment Position,0,1,1,100000001,510000000644,
1430.34,µm,Segment,Segment Position,1,1,1,100000001,510000000650,
1430.8,µm,Segment,Segment Position,0,1,1,100000001,510000000673,
1431.36,µm,Segment,Segment Position,0,1,1,100000000,510000000690,
1432.23,µm,Segment,Segment Position,2,1,1,100000001,510000000698,
1429.87,µm,Segment,Segment Position,1,1,1,100000000,510000000705,
1432.37,µm,Segment,Segment Position,3,2,1,100000001,510000000710,
1431.35,µm,Segment,Segment Position,0,1,1,100000000,510000000728,
1431.94,µm,Segment,Segment Position,0,1,1,100000001,510000000735,
1430.49,µm,Segment,Segment Position,1,2,1,100000001,510000000767,
1431.34,µm,Segment,Segment Position,1,2,1,100000001,510000000772,
1429.73,µm,Segment,Segment Position,0,1,1,100000000,510000000775,
1430.7,µm,Segment,Segment Position,0,1,1,100000000,510000000778,
1432.31,µm,Segment,Segment Position,0,1,1,100000001,510000000807,
1432.43,µm,Segment,Segment Position,1,2,1,100000001,510000000812,
1432.01,µm,Segment,Segment Position,0,1,1,100000001,510000000814,
1432.36,µm,Segment,Segment Position,1,1,1,100000001,510000000817,
1431.55,µm,Segment,Segment Position,0,1,1,100000001,510000000826,
1429.81,µm,Segment,Segment Position,4,1,1,100000000,510000000827,
1429.84,µm,Segment,Segment Position,5,2,1,100000000,510000000828,
1430.93,µm,Segment,Segment Position,1,2,1,100000000,510000000829,
1431.9,µm,Segment,Segment Position,8,2,1,100000001,510000000830,
1431.85,µm,Segment,Segment Position,5,1,1,100000001,510000000831,
1430.45,µm,Segment,Segment Position,1,2,1,100000001,510000000832,
