
Filament Position X
 ==================== 
Filament Position X,Unit,Category,Collection,Time,ID,
-18442.6,µm,Filament,Filament Position,1,100000000,
-18428.8,µm,Filament,Filament Position,1,100000001,
-18450.6,µm,Filament,Filament Position,1,100000002,
