
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-2.244,8.01951,µm^3,Volume Inside,Image 1,1,,
-2.108,22.5603,µm^3,Volume Inside,Image 1,1,,
-1.972,43.0639,µm^3,Volume Inside,Image 1,1,,
-1.836,67.7309,µm^3,Volume Inside,Image 1,1,,
-1.7,85.7062,µm^3,Volume Inside,Image 1,1,,
-1.564,106.828,µm^3,Volume Inside,Image 1,1,,
-1.428,116.505,µm^3,Volume Inside,Image 1,1,,
-1.292,133.861,µm^3,Volume Inside,Image 1,1,,
-1.156,158.777,µm^3,Volume Inside,Image 1,1,,
-1.02,166.366,µm^3,Volume Inside,Image 1,1,,
-0.884,183.477,µm^3,Volume Inside,Image 1,1,,
-0.748,210.059,µm^3,Volume Inside,Image 1,1,,
-0.612,212.79,µm^3,Volume Inside,Image 1,1,,
-0.476,230.35,µm^3,Volume Inside,Image 1,1,,
-0.34,255.65,µm^3,Volume Inside,Image 1,1,,
-0.204,247.725,µm^3,Volume Inside,Image 1,1,,
-0.0680001,251.74,µm^3,Volume Inside,Image 1,1,,
