
Soma Ellipsoid Axis A X
 ==================== 
Soma Ellipsoid Axis A X,Unit,Category,Collection,Time,FilamentID,ID,
-0.225716,µm,Soma,Soma Ellipsoid Axis A,1,100000000,800000000,
0.109759,µm,Soma,Soma Ellipsoid Axis A,1,100000001,800000001,
-0.00530368,µm,Soma,Soma Ellipsoid Axis A,1,100000002,800000002,
