
Spine Part Max Diameter
 ==================== 
Spine Part Max Diameter Ground,Spine Part Max Diameter Head,Spine Part Max Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.289857,0.25286,0,µm,Spine,Spine Part Max Diameter,11,6,1,100000001,610000005404,
0.197612,0.197612,0,µm,Spine,Spine Part Max Diameter,11,6,1,100000001,610000005413,
0.312521,0.223404,0.254084,µm,Spine,Spine Part Max Diameter,12,6,1,100000001,610000004991,
0.314082,0.326505,0.365825,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000004855,
0.314082,0.365825,0,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000004864,
0.380131,0.171354,0,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000004943,
0.375611,0.233353,0,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000005107,
0.718475,0.367226,0,µm,Spine,Spine Part Max Diameter,2,1,1,100000000,610000005144,
0.327611,0.223884,0,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000005442,
0.353535,0.213565,0,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000005443,
0.537833,0.232361,0.360695,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000004926,
0.824945,0.29707,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000004947,
0.377429,0.168716,0.185636,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000004959,
0.837746,0.260056,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000004975,
0.824945,0.29707,0.387207,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005004,
0.4114,0.1625,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005020,
0.377429,0.185636,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005072,
0.654495,0.453304,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005101,
0.328894,0.187918,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005142,
0.454485,0.370267,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005181,
0.89375,0.435652,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005214,
0.591341,0.350638,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005220,
0.219009,0.167034,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005397,
0.301404,0.301404,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005444,
0.403645,0.388012,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005465,
0.412759,0.366334,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005466,
0.424923,0.346582,0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005467,
0.438607,0.194852,0.26025,µm,Spine,Spine Part Max Diameter,2,3,1,100000002,610000005097,
0.419242,0.396582,0,µm,Spine,Spine Part Max Diameter,2,3,1,100000002,610000005476,
0.40606,0.299609,0,µm,Spine,Spine Part Max Diameter,2,3,1,100000002,610000005477,
0.423936,0.344678,0,µm,Spine,Spine Part Max Diameter,2,3,1,100000002,610000005478,
0.313903,0.24375,0,µm,Spine,Spine Part Max Diameter,3,1,1,100000002,610000005441,
0.406375,0.312248,0,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000005135,
0.645437,0.47304,0,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000005190,
0.264062,0.264062,0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005351,
0.203245,0.1625,0,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000005392,
0.310902,0.29616,0,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000005393,
0.318121,0.209661,0,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000005435,
0.274094,0.172656,0,µm,Spine,Spine Part Max Diameter,3,3,1,100000000,610000005365,
0.348366,0.294531,0,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005461,
0.305013,0.222272,0,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005462,
0.313057,0.253597,0,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005463,
0.256219,0.216565,0,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005464,
0.426978,0.365625,0,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005471,
0.51543,0.51543,0,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005472,
0.399521,0.337072,0,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005475,
0.584752,0.237688,0,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000004979,
0.584752,0.237688,0.358193,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000005070,
0.339169,0.254068,0,µm,Spine,Spine Part Max Diameter,4,2,1,100000000,610000005158,
0.238561,0.213543,0,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000005395,
0.24375,0.209879,0,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000005396,
0.554937,0.336134,0,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000005429,
0.322282,0.264062,0,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000005434,
0.337793,0.337793,0,µm,Spine,Spine Part Max Diameter,4,2,1,100000002,610000005455,
0.289065,0.179502,0.183457,µm,Spine,Spine Part Max Diameter,4,3,1,100000002,610000004923,
0.367989,0.200915,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000002,610000005111,
0.355883,0.285703,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000000,610000005350,
0.751893,0.751893,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000001,610000005426,
0.344617,0.233042,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000002,610000005458,
0.427486,0.329814,0,µm,Spine,Spine Part Max Diameter,4,3,1,100000002,610000005474,
0.285446,0.16704,0,µm,Spine,Spine Part Max Diameter,4,4,1,100000002,610000004880,
0.347844,0.185846,0.275376,µm,Spine,Spine Part Max Diameter,4,4,1,100000001,610000005031,
0.519285,0.304702,0,µm,Spine,Spine Part Max Diameter,4,4,1,100000001,610000005240,
0.345925,0.316751,0,µm,Spine,Spine Part Max Diameter,4,4,1,100000001,610000005422,
0.572994,0.572994,0,µm,Spine,Spine Part Max Diameter,4,4,1,100000001,610000005423,
0.454989,0.454989,0,µm,Spine,Spine Part Max Diameter,4,4,1,100000001,610000005424,
0.422389,0.422389,0,µm,Spine,Spine Part Max Diameter,4,4,1,100000001,610000005425,
0.27449,0.27449,0,µm,Spine,Spine Part Max Diameter,4,4,1,100000002,610000005460,
0.327593,0.196642,0,µm,Spine,Spine Part Max Diameter,5,1,1,100000000,610000004966,
0.690255,0.309671,0,µm,Spine,Spine Part Max Diameter,5,1,1,100000000,610000005162,
0.346899,0.203125,0,µm,Spine,Spine Part Max Diameter,5,2,1,100000000,610000005211,
0.467491,0.26865,0,µm,Spine,Spine Part Max Diameter,5,2,1,100000000,610000005216,
0.314525,0.274219,0,µm,Spine,Spine Part Max Diameter,5,2,1,100000000,610000005348,
0.419742,0.419742,0,µm,Spine,Spine Part Max Diameter,5,2,1,100000000,610000005355,
0.275217,0.272289,0,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000005391,
0.369173,0.233821,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000004963,
0.318679,0.209629,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000005011,
0.4875,0.207557,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000005087,
0.385191,0.266551,0.302199,µm,Spine,Spine Part Max Diameter,5,3,1,100000002,610000005104,
0.377909,0.312712,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000005352,
0.46626,0.387433,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000005353,
0.396657,0.34874,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000005354,
0.364424,0.355455,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000005361,
0.494509,0.314844,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000005362,
0.304574,0.22224,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000005401,
0.669757,0.541052,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000005412,
0.247553,0.18224,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000005428,
0.328735,0.281657,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000002,610000005452,
0.475638,0.475638,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000002,610000005453,
0.302924,0.294531,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000002,610000005457,
0.3825,0.347624,0,µm,Spine,Spine Part Max Diameter,5,3,1,100000002,610000005459,
0.328556,0.268611,0,µm,Spine,Spine Part Max Diameter,5,4,1,100000000,610000004901,
0.245534,0.1625,0,µm,Spine,Spine Part Max Diameter,5,4,1,100000002,610000004915,
0.340993,0.169038,0.18128,µm,Spine,Spine Part Max Diameter,5,4,1,100000000,610000004919,
0.330211,0.241844,0.201235,µm,Spine,Spine Part Max Diameter,5,4,1,100000000,610000004938,
0.292183,0.26259,0,µm,Spine,Spine Part Max Diameter,5,4,1,100000000,610000004981,
0.337891,0.304688,0,µm,Spine,Spine Part Max Diameter,5,4,1,100000002,610000005047,
0.298167,0.24375,0,µm,Spine,Spine Part Max Diameter,5,4,1,100000000,610000005363,
0.298167,0.228637,0,µm,Spine,Spine Part Max Diameter,5,4,1,100000000,610000005364,
0.341504,0.341504,0,µm,Spine,Spine Part Max Diameter,5,4,1,100000001,610000005421,
0.380378,0.1625,0,µm,Spine,Spine Part Max Diameter,5,4,1,100000002,610000005469,
0.435932,0.435932,0,µm,Spine,Spine Part Max Diameter,5,5,1,100000001,610000005419,
0.383573,0.226048,0,µm,Spine,Spine Part Max Diameter,5,5,1,100000001,610000005420,
0.293997,0.259694,0,µm,Spine,Spine Part Max Diameter,6,1,1,100000001,610000005394,
0.469891,0.212012,0.233276,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000004897,
0.469891,0.233276,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000004956,
0.469891,0.233276,0.24375,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000005085,
0.344025,0.181927,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000005089,
0.552626,0.431296,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000001,610000005257,
0.701663,0.440953,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000001,610000005280,
0.469891,0.403045,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000005346,
0.328649,0.290394,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000005440,
0.308145,0.308145,0,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000005454,
0.424254,0.232677,0,µm,Spine,Spine Part Max Diameter,6,3,1,100000002,610000005227,
0.626448,0.422343,0,µm,Spine,Spine Part Max Diameter,6,3,1,100000001,610000005235,
0.509105,0.654581,0,µm,Spine,Spine Part Max Diameter,6,3,1,100000001,610000005243,
0.393202,0.348444,0,µm,Spine,Spine Part Max Diameter,6,3,1,100000000,610000005347,
0.63438,0.63438,0,µm,Spine,Spine Part Max Diameter,6,3,1,100000001,610000005411,
0.364531,0.24375,0.24375,µm,Spine,Spine Part Max Diameter,6,4,1,100000002,610000004931,
0.301577,0.188869,0,µm,Spine,Spine Part Max Diameter,6,4,1,100000002,610000005082,
0.324223,0.347065,0,µm,Spine,Spine Part Max Diameter,6,4,1,100000002,610000005164,
0.248992,0.248563,0,µm,Spine,Spine Part Max Diameter,6,4,1,100000000,610000005375,
0.591601,0.591601,0,µm,Spine,Spine Part Max Diameter,6,4,1,100000001,610000005409,
0.364531,0.281505,0,µm,Spine,Spine Part Max Diameter,6,4,1,100000002,610000005468,
0.363015,0.1625,0,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000005151,
0.429117,0.277561,0,µm,Spine,Spine Part Max Diameter,7,2,1,100000002,610000005196,
0.377149,0.377149,0,µm,Spine,Spine Part Max Diameter,7,2,1,100000002,610000005439,
0.355764,0.242527,0.229848,µm,Spine,Spine Part Max Diameter,7,3,1,100000001,610000004998,
0.355764,0.229848,0,µm,Spine,Spine Part Max Diameter,7,3,1,100000001,610000005127,
0.335871,0.256453,0,µm,Spine,Spine Part Max Diameter,7,3,1,100000001,610000005410,
0.283241,0.266171,0,µm,Spine,Spine Part Max Diameter,7,3,1,100000001,610000005433,
0.300428,0.189136,0,µm,Spine,Spine Part Max Diameter,7,3,1,100000002,610000005450,
0.325148,0.206934,0,µm,Spine,Spine Part Max Diameter,7,3,1,100000002,610000005451,
0.299831,0.280512,0,µm,Spine,Spine Part Max Diameter,7,4,1,100000002,610000005447,
0.306357,0.263996,0,µm,Spine,Spine Part Max Diameter,7,4,1,100000002,610000005448,
0.445999,0.445999,0,µm,Spine,Spine Part Max Diameter,7,5,1,100000001,610000005416,
0.398133,0.24375,0.272217,µm,Spine,Spine Part Max Diameter,7,6,1,100000001,610000004860,
0.384571,0.375518,0,µm,Spine,Spine Part Max Diameter,7,6,1,100000001,610000005417,
0.326086,0.294531,0,µm,Spine,Spine Part Max Diameter,7,6,1,100000001,610000005418,
0.369069,0.369069,0,µm,Spine,Spine Part Max Diameter,8,2,1,100000001,610000005427,
0.378835,0.378835,0,µm,Spine,Spine Part Max Diameter,8,3,1,100000001,610000005400,
0.298872,0.20864,0,µm,Spine,Spine Part Max Diameter,8,3,1,100000001,610000005432,
0.322292,0.1625,0,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000004941,
0.573492,0.1625,0,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000005041,
0.573492,0.394903,0,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000005408,
0.421166,0.171506,0.180027,µm,Spine,Spine Part Max Diameter,8,5,1,100000001,610000004889,
0.291715,0.167578,0,µm,Spine,Spine Part Max Diameter,8,5,1,100000001,610000004892,
0.399227,0.260328,0.35861,µm,Spine,Spine Part Max Diameter,8,5,1,100000000,610000004934,
0.415764,0.183469,0.236007,µm,Spine,Spine Part Max Diameter,8,5,1,100000000,610000005115,
0.45763,0.280356,0,µm,Spine,Spine Part Max Diameter,8,5,1,100000000,610000005374,
0.342888,0.342888,0,µm,Spine,Spine Part Max Diameter,8,5,1,100000001,610000005407,
0.206098,0.187891,0,µm,Spine,Spine Part Max Diameter,8,6,1,100000002,610000005456,
0.30078,0.30078,0,µm,Spine,Spine Part Max Diameter,9,3,1,100000001,610000005399,
0.391888,0.325736,0,µm,Spine,Spine Part Max Diameter,9,3,1,100000001,610000005430,
0.404514,0.292431,0,µm,Spine,Spine Part Max Diameter,9,3,1,100000001,610000005431,
0.195098,0.240395,0.213281,µm,Spine,Spine Part Max Diameter,9,4,1,100000001,610000004867,
0.252588,0.171007,0,µm,Spine,Spine Part Max Diameter,9,4,1,100000001,610000004988,
0.408262,0.261695,0,µm,Spine,Spine Part Max Diameter,9,4,1,100000000,610000005006,
0.305432,0.214523,0,µm,Spine,Spine Part Max Diameter,9,4,1,100000002,610000005449,
0.261518,0.168219,0,µm,Spine,Spine Part Max Diameter,9,5,1,100000001,610000005415,
0.262173,0.23194,0.203125,µm,Spine,Spine Part Max Diameter,9,7,1,100000002,610000004878,
0.262173,0.203125,0.1625,µm,Spine,Spine Part Max Diameter,9,7,1,100000002,610000004909,
0.262173,0.195492,0,µm,Spine,Spine Part Max Diameter,9,7,1,100000002,610000004968,
0.262173,0.244485,0,µm,Spine,Spine Part Max Diameter,9,7,1,100000002,610000005470,
