
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.068,260.634,µm^3,Cumulative Volume Outside,Image 1,1,,
0.204,484.836,µm^3,Cumulative Volume Outside,Image 1,1,,
0.34,697.971,µm^3,Cumulative Volume Outside,Image 1,1,,
0.476,885.938,µm^3,Cumulative Volume Outside,Image 1,1,,
0.612,1066.61,µm^3,Cumulative Volume Outside,Image 1,1,,
0.748,1248.13,µm^3,Cumulative Volume Outside,Image 1,1,,
0.884,1421.59,µm^3,Cumulative Volume Outside,Image 1,1,,
1.02,1591.71,µm^3,Cumulative Volume Outside,Image 1,1,,
1.156,1758.32,µm^3,Cumulative Volume Outside,Image 1,1,,
1.292,1920.27,µm^3,Cumulative Volume Outside,Image 1,1,,
1.428,2079.91,µm^3,Cumulative Volume Outside,Image 1,1,,
1.564,2235.94,µm^3,Cumulative Volume Outside,Image 1,1,,
1.7,2389.23,µm^3,Cumulative Volume Outside,Image 1,1,,
1.836,2539.75,µm^3,Cumulative Volume Outside,Image 1,1,,
1.972,2687.89,µm^3,Cumulative Volume Outside,Image 1,1,,
2.108,2833.93,µm^3,Cumulative Volume Outside,Image 1,1,,
2.244,2978.16,µm^3,Cumulative Volume Outside,Image 1,1,,
2.38,3120.12,µm^3,Cumulative Volume Outside,Image 1,1,,
2.516,3259.43,µm^3,Cumulative Volume Outside,Image 1,1,,
2.652,3395.53,µm^3,Cumulative Volume Outside,Image 1,1,,
2.788,3528.84,µm^3,Cumulative Volume Outside,Image 1,1,,
2.924,3658.63,µm^3,Cumulative Volume Outside,Image 1,1,,
3.06,3785.44,µm^3,Cumulative Volume Outside,Image 1,1,,
3.196,3908.5,µm^3,Cumulative Volume Outside,Image 1,1,,
3.332,4027.9,µm^3,Cumulative Volume Outside,Image 1,1,,
3.468,4144.32,µm^3,Cumulative Volume Outside,Image 1,1,,
3.604,4258.23,µm^3,Cumulative Volume Outside,Image 1,1,,
3.74,4369.42,µm^3,Cumulative Volume Outside,Image 1,1,,
3.876,4478.38,µm^3,Cumulative Volume Outside,Image 1,1,,
4.012,4584.69,µm^3,Cumulative Volume Outside,Image 1,1,,
4.148,4688.3,µm^3,Cumulative Volume Outside,Image 1,1,,
4.284,4789.04,µm^3,Cumulative Volume Outside,Image 1,1,,
4.42,4886.54,µm^3,Cumulative Volume Outside,Image 1,1,,
4.556,4981.64,µm^3,Cumulative Volume Outside,Image 1,1,,
4.692,5074.5,µm^3,Cumulative Volume Outside,Image 1,1,,
4.828,5165.07,µm^3,Cumulative Volume Outside,Image 1,1,,
4.964,5253.44,µm^3,Cumulative Volume Outside,Image 1,1,,
5.1,5339.66,µm^3,Cumulative Volume Outside,Image 1,1,,
5.236,5423.74,µm^3,Cumulative Volume Outside,Image 1,1,,
5.372,5506.45,µm^3,Cumulative Volume Outside,Image 1,1,,
5.508,5587.04,µm^3,Cumulative Volume Outside,Image 1,1,,
5.644,5664.32,µm^3,Cumulative Volume Outside,Image 1,1,,
5.78,5737.53,µm^3,Cumulative Volume Outside,Image 1,1,,
5.916,5806.77,µm^3,Cumulative Volume Outside,Image 1,1,,
6.052,5873.14,µm^3,Cumulative Volume Outside,Image 1,1,,
6.188,5936.86,µm^3,Cumulative Volume Outside,Image 1,1,,
6.324,5998.08,µm^3,Cumulative Volume Outside,Image 1,1,,
6.46,6056.69,µm^3,Cumulative Volume Outside,Image 1,1,,
6.596,6112.76,µm^3,Cumulative Volume Outside,Image 1,1,,
6.732,6167.08,µm^3,Cumulative Volume Outside,Image 1,1,,
6.868,6219.72,µm^3,Cumulative Volume Outside,Image 1,1,,
7.004,6270.63,µm^3,Cumulative Volume Outside,Image 1,1,,
7.14,6319.81,µm^3,Cumulative Volume Outside,Image 1,1,,
7.276,6367.09,µm^3,Cumulative Volume Outside,Image 1,1,,
7.412,6412.35,µm^3,Cumulative Volume Outside,Image 1,1,,
7.548,6456.05,µm^3,Cumulative Volume Outside,Image 1,1,,
7.684,6498.25,µm^3,Cumulative Volume Outside,Image 1,1,,
7.82,6538.93,µm^3,Cumulative Volume Outside,Image 1,1,,
7.956,6577.97,µm^3,Cumulative Volume Outside,Image 1,1,,
8.092,6615.05,µm^3,Cumulative Volume Outside,Image 1,1,,
8.228,6650.75,µm^3,Cumulative Volume Outside,Image 1,1,,
8.364,6685.61,µm^3,Cumulative Volume Outside,Image 1,1,,
8.5,6719.28,µm^3,Cumulative Volume Outside,Image 1,1,,
8.636,6752.18,µm^3,Cumulative Volume Outside,Image 1,1,,
8.772,6783.8,µm^3,Cumulative Volume Outside,Image 1,1,,
8.908,6814.53,µm^3,Cumulative Volume Outside,Image 1,1,,
9.044,6844.83,µm^3,Cumulative Volume Outside,Image 1,1,,
9.18,6874.23,µm^3,Cumulative Volume Outside,Image 1,1,,
9.316,6903.04,µm^3,Cumulative Volume Outside,Image 1,1,,
9.452,6930.79,µm^3,Cumulative Volume Outside,Image 1,1,,
9.588,6957.79,µm^3,Cumulative Volume Outside,Image 1,1,,
9.724,6984.45,µm^3,Cumulative Volume Outside,Image 1,1,,
9.86,7010.34,µm^3,Cumulative Volume Outside,Image 1,1,,
9.996,7035.82,µm^3,Cumulative Volume Outside,Image 1,1,,
10.132,7060.58,µm^3,Cumulative Volume Outside,Image 1,1,,
10.268,7084.95,µm^3,Cumulative Volume Outside,Image 1,1,,
10.404,7108.58,µm^3,Cumulative Volume Outside,Image 1,1,,
10.54,7131.77,µm^3,Cumulative Volume Outside,Image 1,1,,
10.676,7154.8,µm^3,Cumulative Volume Outside,Image 1,1,,
10.812,7177.27,µm^3,Cumulative Volume Outside,Image 1,1,,
10.948,7199.38,µm^3,Cumulative Volume Outside,Image 1,1,,
11.084,7220.78,µm^3,Cumulative Volume Outside,Image 1,1,,
11.22,7241.77,µm^3,Cumulative Volume Outside,Image 1,1,,
11.356,7262.62,µm^3,Cumulative Volume Outside,Image 1,1,,
11.492,7282.99,µm^3,Cumulative Volume Outside,Image 1,1,,
11.628,7303.01,µm^3,Cumulative Volume Outside,Image 1,1,,
11.764,7322.37,µm^3,Cumulative Volume Outside,Image 1,1,,
11.9,7341.29,µm^3,Cumulative Volume Outside,Image 1,1,,
12.036,7360.02,µm^3,Cumulative Volume Outside,Image 1,1,,
12.172,7378.23,µm^3,Cumulative Volume Outside,Image 1,1,,
12.308,7396.1,µm^3,Cumulative Volume Outside,Image 1,1,,
12.444,7413.35,µm^3,Cumulative Volume Outside,Image 1,1,,
12.58,7430.25,µm^3,Cumulative Volume Outside,Image 1,1,,
12.716,7446.92,µm^3,Cumulative Volume Outside,Image 1,1,,
12.852,7463.13,µm^3,Cumulative Volume Outside,Image 1,1,,
12.988,7479.02,µm^3,Cumulative Volume Outside,Image 1,1,,
13.124,7494.37,µm^3,Cumulative Volume Outside,Image 1,1,,
13.26,7509.34,µm^3,Cumulative Volume Outside,Image 1,1,,
13.396,7524.14,µm^3,Cumulative Volume Outside,Image 1,1,,
13.532,7538.5,µm^3,Cumulative Volume Outside,Image 1,1,,
