
Spine Neck Max Diameter
 ==================== 
Spine Neck Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.365825,µm,Spine,2,1,1,100000001,610000004855,
0.398133,µm,Spine,7,6,1,100000001,610000004860,
0.314082,µm,Spine,2,1,1,100000001,610000004864,
0.1625,µm,Spine,9,4,1,100000001,610000004867,
0.244485,µm,Spine,9,7,1,100000002,610000004878,
0.194104,µm,Spine,4,4,1,100000002,610000004880,
0.223437,µm,Spine,1,1,1,100000000,610000004883,
0.257026,µm,Spine,1,1,1,100000001,610000004886,
0.252919,µm,Spine,8,5,1,100000001,610000004889,
0.173554,µm,Spine,8,5,1,100000001,610000004892,
0.403045,µm,Spine,6,2,1,100000000,610000004897,
0.268611,µm,Spine,5,4,1,100000000,610000004901,
0.244485,µm,Spine,9,7,1,100000002,610000004909,
0.241778,µm,Spine,0,1,1,100000000,610000004913,
0.17717,µm,Spine,5,4,1,100000002,610000004915,
0.18128,µm,Spine,5,4,1,100000000,610000004919,
0.227834,µm,Spine,4,3,1,100000002,610000004923,
0.360695,µm,Spine,2,2,1,100000002,610000004926,
0.281505,µm,Spine,6,4,1,100000002,610000004931,
0.399227,µm,Spine,8,5,1,100000000,610000004934,
0.311767,µm,Spine,5,4,1,100000000,610000004938,
0.322292,µm,Spine,8,4,1,100000001,610000004941,
0.380131,µm,Spine,2,1,1,100000002,610000004943,
0.387207,µm,Spine,2,2,1,100000002,610000004947,
0.365226,µm,Spine,0,1,1,100000000,610000004952,
0.403045,µm,Spine,6,2,1,100000000,610000004956,
0.377429,µm,Spine,2,2,1,100000001,610000004959,
0.322518,µm,Spine,5,3,1,100000000,610000004963,
0.301071,µm,Spine,5,1,1,100000000,610000004966,
0.244485,µm,Spine,9,7,1,100000002,610000004968,
0.304913,µm,Spine,0,1,1,100000001,610000004973,
0.837746,µm,Spine,2,2,1,100000001,610000004975,
0.584752,µm,Spine,4,2,1,100000001,610000004979,
0.24375,µm,Spine,5,4,1,100000000,610000004981,
0.270235,µm,Spine,0,1,1,100000002,610000004986,
0.196528,µm,Spine,9,4,1,100000001,610000004988,
0.312521,µm,Spine,12,6,1,100000001,610000004991,
0.4875,µm,Spine,0,1,1,100000002,610000004994,
0.256453,µm,Spine,7,3,1,100000001,610000004998,
0,µm,Spine,0,1,1,100000001,610000005001,
0,µm,Spine,2,2,1,100000002,610000005004,
0.250627,µm,Spine,9,4,1,100000000,610000005006,
0,µm,Spine,0,1,1,100000000,610000005009,
0.280447,µm,Spine,5,3,1,100000000,610000005011,
0.267236,µm,Spine,0,1,1,100000002,610000005014,
0,µm,Spine,0,1,1,100000001,610000005018,
0.4114,µm,Spine,2,2,1,100000002,610000005020,
0.347295,µm,Spine,0,1,1,100000001,610000005024,
