
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.203269,0.175027,0.210523,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003548,
0.203269,0.20142,0.241922,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003559,
0.303842,0.243651,0.380463,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003639,
0.402734,0.240707,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003831,
0.359141,0.233182,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003844,
0.203269,0.198108,0.224312,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003847,
0.311979,0.188952,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003875,
0.162331,0.162331,0.192768,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004100,
0.306747,0.348141,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004158,
0.203269,0.215556,0.256755,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004163,
0.517903,0.335089,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004176,
0.232359,0.183926,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000004208,
0.267909,0.811654,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004219,
0.182622,0.405827,0.438715,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004255,
0.488406,0.46248,0.492698,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004297,
0.162331,0.652748,0.912664,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000004323,
0.165822,0.611087,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004335,
0.357574,0.43533,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004376,
0.319645,0.186337,0.24397,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004393,
0.282523,0.262639,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004397,
0.394765,0.206828,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004441,
0.162331,0.405827,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004522,
0.405913,0.326894,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004550,
0.308557,0.626812,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004576,
0.344319,0.810045,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004612,
0.225431,0.354989,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004630,
0.371141,0.195578,0.560728,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004644,
0.324661,0.305122,0.390818,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000004702,
0.162331,0.405827,0.466701,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000004714,
0.167303,0.177725,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004741,
0.162561,0.175398,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004823,
0.329734,0.162331,0.25491,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000004849,
0.165818,0.162331,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004868,
0.182939,0.405827,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004935,
0.162331,0.162331,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004967,
0.162331,0.406798,0.491972,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000004976,
0.3291,0.811654,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004979,
0.274584,0.285981,0.250947,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000004996,
0.355247,0.450326,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000005013,
0.363391,0.509905,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000005036,
0.418812,0.353776,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000005113,
0.372853,0.471774,0.738317,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000005153,
0.506631,0.245338,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000005172,
0.294492,0.322023,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000005176,
0.24096,0.620951,0.77066,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000005186,
0.29099,0.371813,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000005206,
0.162331,0.560168,0.497319,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000005217,
0.224885,0.165537,0.172373,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000005228,
0.355247,0.271383,0.682202,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000005235,
0.365244,0.564921,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000005286,
0.340877,0.557993,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000005297,
