
Spine Terminal Pt Time Index
 ==================== 
Spine Terminal Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,17,8,1,100000000,610000003101,
1,,Spine,17,8,1,100000000,610000003108,
1,,Spine,17,8,1,100000000,610000003114,
1,,Spine,17,8,1,100000000,610000003120,
1,,Spine,5,4,1,100000000,610000003126,
1,,Spine,1,1,1,100000000,610000003131,
1,,Spine,15,6,1,100000000,610000003139,
1,,Spine,17,8,1,100000000,610000003144,
1,,Spine,8,5,1,100000000,610000003149,
1,,Spine,5,4,1,100000000,610000003154,
1,,Spine,3,1,1,100000001,610000003159,
1,,Spine,4,3,1,100000000,610000003165,
1,,Spine,9,2,1,100000000,610000003169,
1,,Spine,3,3,1,100000000,610000003171,
1,,Spine,17,8,1,100000000,610000003174,
1,,Spine,19,8,1,100000000,610000003178,
1,,Spine,10,3,1,100000000,610000003182,
1,,Spine,1,1,1,100000000,610000003186,
1,,Spine,17,8,1,100000000,610000003190,
1,,Spine,11,6,1,100000000,610000003193,
1,,Spine,,,1,,610000003195,
1,,Spine,18,8,1,100000000,610000003201,
1,,Spine,10,5,1,100000000,610000003205,
1,,Spine,21,8,1,100000000,610000003209,
1,,Spine,13,8,1,100000000,610000003212,
1,,Spine,10,5,1,100000000,610000003214,
1,,Spine,11,2,1,100000000,610000003217,
1,,Spine,1,1,1,100000001,610000003220,
1,,Spine,3,1,1,100000000,610000003223,
1,,Spine,2,1,1,100000001,610000003227,
1,,Spine,1,1,1,100000000,610000003230,
1,,Spine,11,6,1,100000000,610000003232,
1,,Spine,17,7,1,100000000,610000003234,
1,,Spine,19,8,1,100000000,610000003236,
1,,Spine,13,8,1,100000000,610000003241,
1,,Spine,10,5,1,100000000,610000003246,
1,,Spine,13,5,1,100000000,610000003248,
1,,Spine,1,1,1,100000001,610000003251,
1,,Spine,1,2,1,100000000,610000003255,
1,,Spine,1,1,1,100000000,610000003259,
1,,Spine,1,1,1,100000002,610000003264,
1,,Spine,1,2,1,100000000,610000003267,
1,,Spine,2,2,1,100000001,610000003270,
1,,Spine,11,6,1,100000000,610000003272,
1,,Spine,6,4,1,100000000,610000003274,
1,,Spine,19,8,1,100000000,610000003276,
1,,Spine,8,5,1,100000000,610000003280,
1,,Spine,12,5,1,100000000,610000003283,
1,,Spine,2,2,1,100000002,610000003286,
1,,Spine,2,1,1,100000000,610000003289,
1,,Spine,8,5,1,100000000,610000003292,
1,,Spine,2,1,1,100000001,610000003295,
1,,Spine,7,2,1,100000000,610000003298,
1,,Spine,5,3,1,100000000,610000003301,
1,,Spine,17,8,1,100000000,610000003303,
1,,Spine,10,5,1,100000000,610000003306,
1,,Spine,6,2,1,100000000,610000003309,
1,,Spine,17,9,1,100000000,610000003311,
1,,Spine,2,1,1,100000001,610000003314,
1,,Spine,11,6,1,100000000,610000003316,
1,,Spine,1,2,1,100000001,610000003319,
1,,Spine,13,6,1,100000000,610000003323,
1,,Spine,1,2,1,100000001,610000003325,
1,,Spine,11,5,1,100000000,610000003327,
1,,Spine,11,3,1,100000000,610000003329,
1,,Spine,10,5,1,100000000,610000003333,
1,,Spine,10,5,1,100000000,610000003337,
1,,Spine,1,1,1,100000002,610000003340,
1,,Spine,11,5,1,100000000,610000003342,
1,,Spine,11,6,1,100000000,610000003344,
1,,Spine,1,1,1,100000002,610000003349,
1,,Spine,14,7,1,100000000,610000003354,
1,,Spine,11,5,1,100000000,610000003356,
1,,Spine,12,7,1,100000000,610000003358,
1,,Spine,14,5,1,100000000,610000003361,
