
Spine Neck Min Diameter
 ==================== 
Spine Neck Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,µm,Spine,11,6,1,100000000,610000003430,
0.325162,µm,Spine,10,6,1,100000000,610000003433,
0.186739,µm,Spine,8,2,1,100000000,610000003435,
0.298663,µm,Spine,17,8,1,100000000,610000003439,
0.296406,µm,Spine,5,1,1,100000002,610000003441,
0.258076,µm,Spine,17,8,1,100000000,610000003444,
0.229748,µm,Spine,14,7,1,100000000,610000003450,
0,µm,Spine,3,1,1,100000000,610000003452,
0.237199,µm,Spine,2,1,1,100000000,610000003456,
0.311929,µm,Spine,12,6,1,100000000,610000003458,
0.243964,µm,Spine,6,4,1,100000000,610000003460,
0,µm,Spine,8,4,1,100000000,610000003462,
0.183687,µm,Spine,11,5,1,100000000,610000003465,
0.555183,µm,Spine,7,4,1,100000000,610000003468,
0.343685,µm,Spine,19,8,1,100000000,610000003470,
0,µm,Spine,11,5,1,100000000,610000003472,
0.443873,µm,Spine,8,5,1,100000000,610000003475,
0,µm,Spine,1,2,1,100000002,610000003479,
0,µm,Spine,9,5,1,100000000,610000003481,
0.162331,µm,Spine,10,5,1,100000000,610000003484,
0.331119,µm,Spine,1,1,1,100000001,610000003487,
0.162331,µm,Spine,16,8,1,100000000,610000003490,
0.16994,µm,Spine,5,3,1,100000000,610000003492,
0.399486,µm,Spine,7,4,1,100000000,610000003497,
0.435252,µm,Spine,5,1,1,100000000,610000003501,
0.31832,µm,Spine,9,4,1,100000000,610000003503,
0.335758,µm,Spine,19,8,1,100000000,610000003506,
0.411035,µm,Spine,5,4,1,100000000,610000003509,
0.38934,µm,Spine,17,7,1,100000000,610000003511,
0.268493,µm,Spine,2,3,1,100000000,610000003516,
0.499561,µm,Spine,2,1,1,100000000,610000003520,
0.162331,µm,Spine,12,5,1,100000000,610000003523,
0.174161,µm,Spine,15,6,1,100000000,610000003525,
0.220614,µm,Spine,2,1,1,100000000,610000003528,
0.174815,µm,Spine,6,4,1,100000000,610000003530,
0.285723,µm,Spine,1,2,1,100000001,610000003532,
0.356034,µm,Spine,14,7,1,100000000,610000003535,
0.498359,µm,Spine,6,3,1,100000000,610000003538,
0.350767,µm,Spine,5,3,1,100000000,610000003540,
0.439236,µm,Spine,8,5,1,100000000,610000003542,
0.520003,µm,Spine,5,2,1,100000000,610000003545,
0.203269,µm,Spine,0,1,1,100000001,610000003548,
0.507833,µm,Spine,17,8,1,100000000,610000003551,
0.324661,µm,Spine,13,6,1,100000000,610000003556,
0.203269,µm,Spine,0,1,1,100000001,610000003559,
0.360322,µm,Spine,2,1,1,100000001,610000003562,
0.47431,µm,Spine,6,4,1,100000000,610000003564,
0.236706,µm,Spine,9,5,1,100000000,610000003566,
0.337985,µm,Spine,13,7,1,100000000,610000003570,
0.358809,µm,Spine,2,2,1,100000002,610000003572,
0.198133,µm,Spine,2,2,1,100000001,610000003574,
0.162331,µm,Spine,3,1,1,100000000,610000003576,
0,µm,Spine,11,6,1,100000000,610000003578,
0.260934,µm,Spine,16,9,1,100000000,610000003580,
0,µm,Spine,7,4,1,100000000,610000003583,
0.326107,µm,Spine,4,1,1,100000000,610000003586,
0.31771,µm,Spine,5,5,1,100000000,610000003588,
0.543045,µm,Spine,3,1,1,100000001,610000003590,
0.234285,µm,Spine,11,6,1,100000000,610000003592,
0.183429,µm,Spine,2,1,1,100000000,610000003596,
0.30146,µm,Spine,16,9,1,100000000,610000003599,
