
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
2.17153,µm,Segment,15,6,1,100000000,510000000030,
1.4992,µm,Segment,14,5,1,100000000,510000000045,
1.05542,µm,Segment,13,5,1,100000000,510000000057,
0.664118,µm,Segment,12,5,1,100000000,510000000062,
0.622872,µm,Segment,11,5,1,100000000,510000000066,
3.68183,µm,Segment,10,5,1,100000000,510000000107,
1.91586,µm,Segment,9,5,1,100000000,510000000129,
0.755538,µm,Segment,8,5,1,100000000,510000000137,
0.626677,µm,Segment,7,4,1,100000000,510000000144,
1.30675,µm,Segment,6,4,1,100000000,510000000156,
4.17052,µm,Segment,5,3,1,100000000,510000000207,
2.26862,µm,Segment,4,3,1,100000000,510000000229,
1.10547,µm,Segment,3,2,1,100000000,510000000239,
0.747581,µm,Segment,2,1,1,100000000,510000000247,
1.3807,µm,Segment,1,1,1,100000000,510000000258,
0.112813,µm,Segment,0,1,1,100000000,510000000262,
2.01299,µm,Segment,13,6,1,100000000,510000000287,
0.668698,µm,Segment,15,5,1,100000000,510000000291,
0.883294,µm,Segment,14,6,1,100000000,510000000299,
1.16531,µm,Segment,11,6,1,100000000,510000000308,
0.406613,µm,Segment,12,6,1,100000000,510000000310,
0.73832,µm,Segment,12,5,1,100000000,510000000318,
2.6524,µm,Segment,11,5,1,100000000,510000000343,
1.72806,µm,Segment,10,5,1,100000000,510000000359,
0.311235,µm,Segment,9,5,1,100000000,510000000362,
5.09727,µm,Segment,8,5,1,100000000,510000000420,
1.41975,µm,Segment,7,4,1,100000000,510000000433,
2.77105,µm,Segment,6,4,1,100000000,510000000464,
0.519804,µm,Segment,5,4,1,100000000,510000000468,
0.761223,µm,Segment,12,6,1,100000000,510000000474,
0.69506,µm,Segment,21,9,1,100000000,510000000482,
1.217,µm,Segment,19,8,1,100000000,510000000497,
2.12054,µm,Segment,18,8,1,100000000,510000000521,
2.87459,µm,Segment,17,7,1,100000000,510000000556,
0.841204,µm,Segment,16,7,1,100000000,510000000565,
1.30431,µm,Segment,15,7,1,100000000,510000000575,
3.414,µm,Segment,14,7,1,100000000,510000000608,
0.902173,µm,Segment,13,6,1,100000000,510000000616,
2.36268,µm,Segment,12,6,1,100000000,510000000643,
0.962456,µm,Segment,11,6,1,100000000,510000000653,
1.48273,µm,Segment,10,6,1,100000000,510000000665,
0.378981,µm,Segment,20,9,1,100000000,510000000667,
