
Segment Intensity StdDev Ch=4 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,15,Image 1,6,1,100000000,510000000030,
0,,Segment,4,14,Image 1,5,1,100000000,510000000045,
0,,Segment,4,13,Image 1,5,1,100000000,510000000057,
1.7248,,Segment,4,12,Image 1,5,1,100000000,510000000062,
17.728,,Segment,4,11,Image 1,5,1,100000000,510000000066,
16.514,,Segment,4,10,Image 1,5,1,100000000,510000000107,
43.6772,,Segment,4,9,Image 1,5,1,100000000,510000000129,
0,,Segment,4,8,Image 1,5,1,100000000,510000000137,
0,,Segment,4,7,Image 1,4,1,100000000,510000000144,
0,,Segment,4,6,Image 1,4,1,100000000,510000000156,
9.71685,,Segment,4,5,Image 1,3,1,100000000,510000000207,
0,,Segment,4,4,Image 1,3,1,100000000,510000000229,
0,,Segment,4,3,Image 1,2,1,100000000,510000000239,
0,,Segment,4,2,Image 1,1,1,100000000,510000000247,
0,,Segment,4,1,Image 1,1,1,100000000,510000000258,
0,,Segment,4,0,Image 1,1,1,100000000,510000000262,
3.23072,,Segment,4,13,Image 1,6,1,100000000,510000000287,
0,,Segment,4,15,Image 1,5,1,100000000,510000000291,
15.2451,,Segment,4,14,Image 1,6,1,100000000,510000000299,
12.231,,Segment,4,11,Image 1,6,1,100000000,510000000308,
2.25058,,Segment,4,12,Image 1,6,1,100000000,510000000310,
53.7197,,Segment,4,12,Image 1,5,1,100000000,510000000318,
4.68022,,Segment,4,11,Image 1,5,1,100000000,510000000343,
0.739132,,Segment,4,10,Image 1,5,1,100000000,510000000359,
2.18287,,Segment,4,9,Image 1,5,1,100000000,510000000362,
11.2122,,Segment,4,8,Image 1,5,1,100000000,510000000420,
0,,Segment,4,7,Image 1,4,1,100000000,510000000433,
3.76092,,Segment,4,6,Image 1,4,1,100000000,510000000464,
3.4784,,Segment,4,5,Image 1,4,1,100000000,510000000468,
28.1243,,Segment,4,12,Image 1,6,1,100000000,510000000474,
0,,Segment,4,21,Image 1,9,1,100000000,510000000482,
0,,Segment,4,19,Image 1,8,1,100000000,510000000497,
0,,Segment,4,18,Image 1,8,1,100000000,510000000521,
0,,Segment,4,17,Image 1,7,1,100000000,510000000556,
0,,Segment,4,16,Image 1,7,1,100000000,510000000565,
0,,Segment,4,15,Image 1,7,1,100000000,510000000575,
0.831729,,Segment,4,14,Image 1,7,1,100000000,510000000608,
