
Segment Center Number of Voxel Ch=2 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
22,,Segment,2,8,Image 1,2,1,100000000,510000001288,
16,,Segment,2,7,Image 1,2,1,100000000,510000001303,
11,,Segment,2,6,Image 1,2,1,100000000,510000001313,
18,,Segment,2,5,Image 1,1,1,100000000,510000001330,
16,,Segment,2,4,Image 1,1,1,100000000,510000001345,
16,,Segment,2,3,Image 1,1,1,100000000,510000001360,
59,,Segment,2,2,Image 1,1,1,100000000,510000001418,
27,,Segment,2,1,Image 1,1,1,100000000,510000001444,
17,,Segment,2,0,Image 1,1,1,100000000,510000001476,
4,,Segment,2,11,Image 1,3,1,100000000,510000001480,
12,,Segment,2,10,Image 1,3,1,100000000,510000001491,
6,,Segment,2,9,Image 1,3,1,100000000,510000001496,
15,,Segment,2,8,Image 1,3,1,100000000,510000001510,
14,,Segment,2,7,Image 1,3,1,100000000,510000001523,
5,,Segment,2,6,Image 1,1,1,100000000,510000001527,
4,,Segment,2,6,Image 1,3,1,100000000,510000001531,
9,,Segment,2,5,Image 1,2,1,100000000,510000001539,
4,,Segment,2,6,Image 1,2,1,100000000,510000001542,
49,,Segment,2,2,Image 1,1,1,100000002,510000001590,
35,,Segment,2,1,Image 1,1,1,100000002,510000001624,
11,,Segment,2,0,Image 1,1,1,100000002,510000001637,
13,,Segment,2,6,Image 1,1,1,100000002,510000001674,
32,,Segment,2,5,Image 1,1,1,100000002,510000001705,
20,,Segment,2,4,Image 1,1,1,100000002,510000001724,
4,,Segment,2,3,Image 1,1,1,100000002,510000001727,
23,,Segment,2,2,Image 1,1,1,100000002,510000001749,
14,,Segment,2,1,Image 1,1,1,100000002,510000001762,
7,,Segment,2,0,Image 1,1,1,100000002,510000001771,
6,,Segment,2,6,Image 1,2,1,100000002,510000001776,
30,,Segment,2,3,Image 1,1,1,100000001,510000001805,
9,,Segment,2,2,Image 1,1,1,100000001,510000001813,
31,,Segment,2,1,Image 1,1,1,100000001,510000001843,
19,,Segment,2,0,Image 1,1,1,100000001,510000001865,
36,,Segment,2,2,Image 1,2,1,100000002,510000001924,
18,,Segment,2,10,Image 1,6,1,100000000,510000001941,
4,,Segment,2,9,Image 1,5,1,100000000,510000001944,
24,,Segment,2,5,Image 1,4,1,100000000,510000001968,
8,,Segment,2,4,Image 1,3,1,100000000,510000001975,
41,,Segment,2,3,Image 1,3,1,100000000,510000002015,
12,,Segment,2,2,Image 1,2,1,100000000,510000002026,
13,,Segment,2,5,Image 1,2,1,100000002,510000002038,
6,,Segment,2,10,Image 1,5,1,100000000,510000002043,
11,,Segment,2,9,Image 1,4,1,100000000,510000002053,
18,,Segment,2,8,Image 1,5,1,100000000,510000002070,
10,,Segment,2,10,Image 1,5,1,100000000,510000002079,
8,,Segment,2,10,Image 1,4,1,100000000,510000002086,
34,,Segment,2,5,Image 1,3,1,100000000,510000002119,
11,,Segment,2,4,Image 1,3,1,100000000,510000002129,
25,,Segment,2,3,Image 1,3,1,100000000,510000002153,
4,,Segment,2,10,Image 1,5,1,100000000,510000002156,
6,,Segment,2,4,Image 1,2,1,100000000,510000002161,
22,,Segment,2,2,Image 1,2,1,100000002,510000002182,
5,,Segment,2,1,Image 1,1,1,100000002,510000002186,
10,,Segment,2,0,Image 1,1,1,100000002,510000002201,
9,,Segment,2,3,Image 1,2,1,100000001,510000002229,
3,,Segment,2,6,Image 1,4,1,100000000,510000002231,
3,,Segment,2,6,Image 1,3,1,100000000,510000002233,
17,,Segment,2,5,Image 1,4,1,100000000,510000002249,
20,,Segment,2,7,Image 1,5,1,100000000,510000002268,
3,,Segment,2,5,Image 1,3,1,100000000,510000002270,
4,,Segment,2,4,Image 1,4,1,100000000,510000002273,
3,,Segment,2,9,Image 1,4,1,100000000,510000002276,
31,,Segment,2,5,Image 1,2,1,100000000,510000002306,
10,,Segment,2,4,Image 1,1,1,100000000,510000002315,
15,,Segment,2,3,Image 1,1,1,100000000,510000002329,
8,,Segment,2,2,Image 1,2,1,100000001,510000002336,
5,,Segment,2,3,Image 1,2,1,100000000,510000002340,
6,,Segment,2,3,Image 1,2,1,100000002,510000002346,
4,,Segment,2,4,Image 1,2,1,100000002,510000002357,
5,,Segment,2,7,Image 1,3,1,100000000,510000002361,
31,,Segment,2,1,Image 1,2,1,100000002,510000002391,
6,,Segment,2,0,Image 1,1,1,100000002,510000002397,
22,,Segment,2,1,Image 1,2,1,100000002,510000002418,
3,,Segment,2,4,Image 1,4,1,100000000,510000002420,
4,,Segment,2,6,Image 1,2,1,100000000,510000002423,
3,,Segment,2,6,Image 1,3,1,100000000,510000002425,
5,,Segment,2,6,Image 1,5,1,100000000,510000002429,
26,,Segment,2,0,Image 1,1,1,100000001,510000002456,
4,,Segment,2,4,Image 1,3,1,100000000,510000002480,
5,,Segment,2,5,Image 1,3,1,100000000,510000002484,
4,,Segment,2,1,Image 1,2,1,100000002,510000002487,
8,,Segment,2,4,Image 1,3,1,100000000,510000002495,
9,,Segment,2,3,Image 1,3,1,100000000,510000002503,
31,,Segment,2,1,Image 1,2,1,100000001,510000002533,
14,,Segment,2,0,Image 1,1,1,100000001,510000002548,
4,,Segment,2,1,Image 1,2,1,100000001,510000002551,
6,,Segment,2,2,Image 1,2,1,100000002,510000002560,
6,,Segment,2,3,Image 1,2,1,100000000,510000002565,
3,,Segment,2,5,Image 1,1,1,100000000,510000002567,
16,,Segment,2,0,Image 1,1,1,100000001,510000002587,
7,,Segment,2,1,Image 1,1,1,100000002,510000002594,
6,,Segment,2,1,Image 1,2,1,100000000,510000002600,
13,,Segment,2,4,Image 1,2,1,100000000,510000002626,
4,,Segment,2,4,Image 1,2,1,100000000,510000002629,
17,,Segment,2,0,Image 1,1,1,100000001,510000002652,
15,,Segment,2,1,Image 1,2,1,100000001,510000002666,
4,,Segment,2,1,Image 1,2,1,100000002,510000002670,
9,,Segment,2,2,Image 1,2,1,100000000,510000002680,
2,,Segment,2,0,Image 1,1,1,100000001,510000002691,
5,,Segment,2,0,Image 1,1,1,100000001,510000002702,
3,,Segment,2,1,Image 1,1,1,100000001,510000002725,
9,,Segment,2,0,Image 1,1,1,100000000,510000002741,
1,,Segment,2,0,Image 1,1,1,100000001,510000002776,
2,,Segment,2,8,Image 1,4,1,100000000,510000002786,
2,,Segment,2,20,Image 1,8,1,100000000,510000002787,
2,,Segment,2,8,Image 1,4,1,100000000,510000002790,
2,,Segment,2,4,Image 1,4,1,100000000,510000002791,
2,,Segment,2,6,Image 1,3,1,100000000,510000002792,
2,,Segment,2,2,Image 1,1,1,100000002,510000002805,
