
Soma Ellipticity (oblate)
 ==================== 
Soma Ellipticity (oblate),Unit,Category,Time,FilamentID,ID,
0.441568,,Soma,1,100000000,800000000,
0.512828,,Soma,1,100000001,800000001,
0.537174,,Soma,1,100000002,800000002,
