
Spine Part Mean Diameter
 ==================== 
Spine Part Mean Diameter Ground,Spine Part Mean Diameter Head,Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.526076,0.541801,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003647,
0.471984,0.439145,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003658,
0.374083,0.44509,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003660,
0.436598,0.447903,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003669,
0.246544,0.174819,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003714,
0.250917,0.183565,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003715,
0.232017,0.177734,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003760,
0.224965,0.22177,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000003764,
0.252719,0.1625,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000003767,
0.25927,0.173926,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000003768,
0.360281,0.33507,0,µm,Spine,Spine Part Mean Diameter,3,3,1,100000001,610000003741,
0.340023,0.294554,0,µm,Spine,Spine Part Mean Diameter,3,3,1,100000001,610000003742,
0.269957,0.259858,0,µm,Spine,Spine Part Mean Diameter,3,3,1,100000001,610000003751,
0.273707,0.18044,0,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000003735,
0.31152,0.1625,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003528,
0.339208,0.177734,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003549,
0.339448,0.172656,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000000,610000003558,
0.458543,0.415954,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000000,610000003718,
0.36915,0.33205,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003724,
0.333661,0.32279,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003736,
0.296676,0.253906,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003738,
0.37394,0.267266,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003739,
0.389652,0.298689,0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003740,
0.3455,0.326206,0,µm,Spine,Spine Part Mean Diameter,4,4,1,100000001,610000003737,
0.48099,0.25622,0.299936,µm,Spine,Spine Part Mean Diameter,5,3,1,100000001,610000003469,
0.35136,0.183625,0.228155,µm,Spine,Spine Part Mean Diameter,5,3,1,100000001,610000003510,
0.518709,0.280507,0.405553,µm,Spine,Spine Part Mean Diameter,5,3,1,100000001,610000003582,
0.480288,0.389908,0,µm,Spine,Spine Part Mean Diameter,5,3,1,100000001,610000003722,
0.403954,0.348937,0,µm,Spine,Spine Part Mean Diameter,5,3,1,100000001,610000003723,
0.227803,0.177242,0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000001,610000003459,
0.248811,0.181422,0.185787,µm,Spine,Spine Part Mean Diameter,5,4,1,100000001,610000003477,
0.377117,0.305045,0.359122,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000003561,
0.296556,0.180278,0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000001,610000003576,
0.377117,0.329706,0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000003603,
0.358271,0.350379,0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000003710,
0.38623,0.425646,0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000003711,
0.386058,0.353792,0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000003712,
0.425111,0.333252,0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000003713,
0.216642,0.1625,0,µm,Spine,Spine Part Mean Diameter,6,2,1,100000001,610000003498,
0.282604,0.230991,0,µm,Spine,Spine Part Mean Diameter,6,2,1,100000001,610000003734,
0.200128,0.1625,0,µm,Spine,Spine Part Mean Diameter,6,3,1,100000001,610000003721,
0.209691,0.1625,0,µm,Spine,Spine Part Mean Diameter,6,4,1,100000001,610000003461,
0.364146,0.285645,0,µm,Spine,Spine Part Mean Diameter,6,4,1,100000000,610000003605,
0.256088,0.182812,0,µm,Spine,Spine Part Mean Diameter,6,4,1,100000000,610000003709,
0.35429,0.394689,0,µm,Spine,Spine Part Mean Diameter,6,4,1,100000001,610000003719,
0.1625,0.1625,0,µm,Spine,Spine Part Mean Diameter,6,4,1,100000001,610000003732,
0.163823,0.1625,0,µm,Spine,Spine Part Mean Diameter,6,4,1,100000001,610000003733,
0.229853,0.266806,0.212638,µm,Spine,Spine Part Mean Diameter,6,5,1,100000000,610000003490,
0.233714,0.242763,0.210194,µm,Spine,Spine Part Mean Diameter,6,5,1,100000000,610000003518,
0.242037,0.222132,0,µm,Spine,Spine Part Mean Diameter,6,5,1,100000000,610000003617,
0.242037,0.217068,0,µm,Spine,Spine Part Mean Diameter,6,5,1,100000000,610000003624,
0.243752,0.1625,0,µm,Spine,Spine Part Mean Diameter,7,2,1,100000001,610000003746,
0.399643,0.1625,0,µm,Spine,Spine Part Mean Diameter,7,3,1,100000000,610000003500,
0.397216,0.262166,0,µm,Spine,Spine Part Mean Diameter,7,3,1,100000000,610000003537,
0.38887,0.408275,0,µm,Spine,Spine Part Mean Diameter,7,3,1,100000001,610000003745,
