
Spine Attachment Pt Distance
 ==================== 
Spine Attachment Pt Distance,Unit,Category,Depth,Level,Time,FilamentID,ID,
9.72914,µm,Spine,2,1,1,100000001,610000003445,
3.91727,µm,Spine,2,3,1,100000001,610000003448,
3.91727,µm,Spine,2,3,1,100000001,610000003450,
1.82601,µm,Spine,0,1,1,100000002,610000003452,
9.72914,µm,Spine,2,1,1,100000001,610000003454,
13.0614,µm,Spine,5,4,1,100000001,610000003459,
15.9702,µm,Spine,6,4,1,100000001,610000003461,
13.4792,µm,Spine,5,3,1,100000001,610000003469,
4.55702,µm,Spine,2,2,1,100000001,610000003472,
4.03547,µm,Spine,2,2,1,100000002,610000003474,
13.0614,µm,Spine,5,4,1,100000001,610000003477,
13.659,µm,Spine,7,4,1,100000001,610000003479,
17.8684,µm,Spine,7,5,1,100000001,610000003482,
11.7818,µm,Spine,6,5,1,100000000,610000003490,
2.85634,µm,Spine,1,1,1,100000000,610000003495,
12.5275,µm,Spine,6,2,1,100000001,610000003498,
8.87729,µm,Spine,7,3,1,100000000,610000003500,
14.4799,µm,Spine,8,6,1,100000000,610000003507,
12.1992,µm,Spine,5,3,1,100000001,610000003510,
2.68447,µm,Spine,1,2,1,100000001,610000003512,
11.7818,µm,Spine,6,5,1,100000000,610000003518,
4.90997,µm,Spine,2,2,1,100000000,610000003521,
2.86076,µm,Spine,1,1,1,100000001,610000003524,
14.7155,µm,Spine,9,5,1,100000000,610000003526,
7.74924,µm,Spine,4,3,1,100000001,610000003528,
4.31201,µm,Spine,2,3,1,100000001,610000003535,
9.58693,µm,Spine,7,3,1,100000000,610000003537,
0.360451,µm,Spine,0,1,1,100000001,610000003542,
7.54965,µm,Spine,4,3,1,100000001,610000003549,
3.07472,µm,Spine,1,1,1,100000001,610000003553,
13.0644,µm,Spine,7,5,1,100000000,610000003556,
7.76494,µm,Spine,4,3,1,100000000,610000003558,
8.40646,µm,Spine,5,4,1,100000000,610000003561,
15.4213,µm,Spine,10,4,1,100000000,610000003564,
4.35791,µm,Spine,2,2,1,100000001,610000003570,
4.00972,µm,Spine,2,1,1,100000000,610000003572,
3.05701,µm,Spine,1,2,1,100000001,610000003574,
13.1493,µm,Spine,5,4,1,100000001,610000003576,
13.4792,µm,Spine,5,3,1,100000001,610000003582,
0.182683,µm,Spine,0,1,1,100000001,610000003584,
2.85634,µm,Spine,1,1,1,100000000,610000003590,
5.78172,µm,Spine,2,3,1,100000001,610000003592,
3.07472,µm,Spine,1,1,1,100000001,610000003599,
2.08838,µm,Spine,3,2,1,100000000,610000003601,
8.40646,µm,Spine,5,4,1,100000000,610000003603,
8.54475,µm,Spine,6,4,1,100000000,610000003605,
4.35791,µm,Spine,2,2,1,100000001,610000003612,
11.7818,µm,Spine,6,5,1,100000000,610000003617,
0.0851694,µm,Spine,0,1,1,100000001,610000003619,
0.530596,µm,Spine,0,1,1,100000001,610000003622,
11.7818,µm,Spine,6,5,1,100000000,610000003624,
0.182683,µm,Spine,0,1,1,100000001,610000003628,
1.85811,µm,Spine,0,1,1,100000001,610000003632,
2.57549,µm,Spine,0,1,1,100000001,610000003634,
20.6193,µm,Spine,7,4,1,100000001,610000003642,
0.182683,µm,Spine,0,1,1,100000001,610000003651,
4.71828,µm,Spine,2,1,1,100000000,610000003654,
5.67605,µm,Spine,2,1,1,100000000,610000003664,
0.90436,µm,Spine,0,1,1,100000000,610000003676,
1.32614,µm,Spine,1,2,1,100000001,610000003680,
3.07472,µm,Spine,1,1,1,100000001,610000003685,
4.71828,µm,Spine,2,1,1,100000000,610000003687,
15.773,µm,Spine,10,4,1,100000000,610000003706,
14.0954,µm,Spine,9,4,1,100000000,610000003707,
15.0871,µm,Spine,9,5,1,100000000,610000003708,
11.9273,µm,Spine,6,4,1,100000000,610000003709,
9.64834,µm,Spine,5,4,1,100000000,610000003710,
8.80071,µm,Spine,5,4,1,100000000,610000003711,
8.27402,µm,Spine,5,4,1,100000000,610000003712,
8.1443,µm,Spine,5,4,1,100000000,610000003713,
2.08838,µm,Spine,3,2,1,100000000,610000003714,
2.08838,µm,Spine,3,2,1,100000000,610000003715,
2.06508,µm,Spine,1,2,1,100000000,610000003716,
4.90997,µm,Spine,2,2,1,100000000,610000003717,
5.26404,µm,Spine,4,3,1,100000000,610000003718,
16.3709,µm,Spine,6,4,1,100000001,610000003719,
20.6193,µm,Spine,7,4,1,100000001,610000003720,
15.5644,µm,Spine,6,3,1,100000001,610000003721,
13.2262,µm,Spine,5,3,1,100000001,610000003722,
12.1992,µm,Spine,5,3,1,100000001,610000003723,
9.02143,µm,Spine,4,3,1,100000001,610000003724,
4.13216,µm,Spine,2,3,1,100000001,610000003725,
1.4099,µm,Spine,1,2,1,100000001,610000003726,
11.6809,µm,Spine,6,4,1,100000001,610000003732,
11.5922,µm,Spine,6,4,1,100000001,610000003733,
