
Spine Terminal Pt Position X
 ==================== 
Spine Terminal Pt Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
42.3225,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000003445,
39.8525,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003448,
39.7805,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003450,
62.4725,µm,Spine,Spine Terminal Pt Position,0,1,1,100000002,610000003452,
42.4525,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000003454,
37.1225,µm,Spine,Spine Terminal Pt Position,5,4,1,100000001,610000003459,
39.7225,µm,Spine,Spine Terminal Pt Position,6,4,1,100000001,610000003461,
40.2206,µm,Spine,Spine Terminal Pt Position,5,3,1,100000001,610000003469,
34.9775,µm,Spine,Spine Terminal Pt Position,2,2,1,100000001,610000003472,
59.0835,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000003474,
37.2525,µm,Spine,Spine Terminal Pt Position,5,4,1,100000001,610000003477,
34.0675,µm,Spine,Spine Terminal Pt Position,7,4,1,100000001,610000003479,
37.9675,µm,Spine,Spine Terminal Pt Position,7,5,1,100000001,610000003482,
20.1315,µm,Spine,Spine Terminal Pt Position,6,5,1,100000000,610000003490,
15.0875,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000003495,
31.7925,µm,Spine,Spine Terminal Pt Position,6,2,1,100000001,610000003498,
17.6225,µm,Spine,Spine Terminal Pt Position,7,3,1,100000000,610000003500,
61.3025,µm,Spine,Spine Terminal Pt Position,,,1,,610000003503,
23.4075,µm,Spine,Spine Terminal Pt Position,8,6,1,100000000,610000003507,
39.8525,µm,Spine,Spine Terminal Pt Position,5,3,1,100000001,610000003510,
37.9177,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000003512,
20.3525,µm,Spine,Spine Terminal Pt Position,6,5,1,100000000,610000003518,
17.6224,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003521,
38.9425,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003524,
23.3425,µm,Spine,Spine Terminal Pt Position,9,5,1,100000000,610000003526,
36.6675,µm,Spine,Spine Terminal Pt Position,4,3,1,100000001,610000003528,
37.2525,µm,Spine,Spine Terminal Pt Position,,,1,,610000003530,
39.9825,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003535,
17.1025,µm,Spine,Spine Terminal Pt Position,7,3,1,100000000,610000003537,
37.6425,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003542,
36.5375,µm,Spine,Spine Terminal Pt Position,4,3,1,100000001,610000003549,
40.0475,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003553,
22.6925,µm,Spine,Spine Terminal Pt Position,7,5,1,100000000,610000003556,
18.3375,µm,Spine,Spine Terminal Pt Position,4,3,1,100000000,610000003558,
19.2475,µm,Spine,Spine Terminal Pt Position,5,4,1,100000000,610000003561,
24.7075,µm,Spine,Spine Terminal Pt Position,10,4,1,100000000,610000003564,
40.1125,µm,Spine,Spine Terminal Pt Position,2,2,1,100000001,610000003570,
18.0067,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003572,
37.5125,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000003574,
37.2525,µm,Spine,Spine Terminal Pt Position,5,4,1,100000001,610000003576,
40.0475,µm,Spine,Spine Terminal Pt Position,5,3,1,100000001,610000003582,
15.1525,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000003590,
39.0075,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003592,
39.9175,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003599,
15.9975,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003601,
19.3775,µm,Spine,Spine Terminal Pt Position,5,4,1,100000000,610000003603,
18.7925,µm,Spine,Spine Terminal Pt Position,6,4,1,100000000,610000003605,
40.1775,µm,Spine,Spine Terminal Pt Position,2,2,1,100000001,610000003612,
21.4459,µm,Spine,Spine Terminal Pt Position,6,5,1,100000000,610000003617,
39.3108,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003619,
37.3399,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003622,
20.6775,µm,Spine,Spine Terminal Pt Position,6,5,1,100000000,610000003624,
38.0975,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003628,
40.3304,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003632,
41.1525,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003634,
36.4725,µm,Spine,Spine Terminal Pt Position,7,4,1,100000001,610000003642,
18.8366,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003654,
18.9875,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003664,
15.7375,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000003676,
37.9675,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000003680,
39.7225,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003685,
18.7275,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003687,
15.9975,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003771,
58.1825,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003771,
39.7875,µm,Spine,Spine Terminal Pt Position,2,3,1,,610000003771,
15.9975,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003772,
37.8375,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000003772,
58.7025,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003772,
59.663,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003773,
