
Spine Intensity Mean Ch=1 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2.54264,,Spine,1,4,Image 1,3,1,100000001,610000003724,
2.92105,,Spine,1,2,Image 1,3,1,100000001,610000003725,
2.4625,,Spine,1,1,Image 1,2,1,100000001,610000003726,
1.93333,,Spine,1,6,Image 1,4,1,100000001,610000003732,
1.86957,,Spine,1,6,Image 1,4,1,100000001,610000003733,
2.06849,,Spine,1,6,Image 1,2,1,100000001,610000003734,
1.80519,,Spine,1,4,Image 1,2,1,100000001,610000003735,
2.09524,,Spine,1,4,Image 1,3,1,100000001,610000003736,
2.83019,,Spine,1,4,Image 1,4,1,100000001,610000003737,
2.42391,,Spine,1,4,Image 1,3,1,100000001,610000003738,
2.86857,,Spine,1,4,Image 1,3,1,100000001,610000003739,
2.86667,,Spine,1,4,Image 1,3,1,100000001,610000003740,
2.04225,,Spine,1,3,Image 1,3,1,100000001,610000003741,
1.93443,,Spine,1,3,Image 1,3,1,100000001,610000003742,
2.53659,,Spine,1,7,Image 1,4,1,100000001,610000003743,
3.75,,Spine,1,7,Image 1,4,1,100000001,610000003744,
3.04142,,Spine,1,7,Image 1,3,1,100000001,610000003745,
3.72464,,Spine,1,7,Image 1,2,1,100000001,610000003746,
2.17308,,Spine,1,1,Image 1,2,1,100000001,610000003749,
2.86517,,Spine,1,0,Image 1,1,1,100000001,610000003750,
1.96104,,Spine,1,3,Image 1,3,1,100000001,610000003751,
3.42105,,Spine,1,2,Image 1,2,1,100000001,610000003752,
3.31818,,Spine,1,2,Image 1,2,1,100000001,610000003753,
2.71875,,Spine,1,7,Image 1,3,1,100000001,610000003757,
2.94231,,Spine,1,2,Image 1,1,1,100000001,610000003758,
2.53247,,Spine,1,1,Image 1,1,1,100000001,610000003759,
4.34783,,Spine,1,3,Image 1,2,1,100000001,610000003760,
3.01282,,Spine,1,1,Image 1,2,1,100000001,610000003761,
3.45882,,Spine,1,1,Image 1,1,1,100000001,610000003762,
3.8629,,Spine,1,1,Image 1,1,1,100000001,610000003763,
2.82857,,Spine,1,3,Image 1,2,1,100000002,610000003764,
5.03846,,Spine,1,2,Image 1,2,1,100000002,610000003765,
2.79688,,Spine,1,0,Image 1,1,1,100000002,610000003766,
2.76923,,Spine,1,3,Image 1,2,1,100000002,610000003767,
1.92105,,Spine,1,3,Image 1,2,1,100000002,610000003768,
2.29132,,Spine,1,0,Image 1,1,1,100000002,610000003769,
