
Segment Intensity Max Ch=2 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
140,,Segment,2,13,Image 1,5,1,100000000,510000000020,
183,,Segment,2,12,Image 1,5,1,100000000,510000000023,
196,,Segment,2,11,Image 1,5,1,100000000,510000000030,
196,,Segment,2,10,Image 1,4,1,100000000,510000000051,
164,,Segment,2,9,Image 1,4,1,100000000,510000000056,
164,,Segment,2,8,Image 1,4,1,100000000,510000000060,
166,,Segment,2,7,Image 1,4,1,100000000,510000000068,
166,,Segment,2,6,Image 1,4,1,100000000,510000000093,
187,,Segment,2,5,Image 1,4,1,100000000,510000000121,
152,,Segment,2,4,Image 1,3,1,100000000,510000000164,
146,,Segment,2,3,Image 1,2,1,100000000,510000000183,
179,,Segment,2,1,Image 1,1,1,100000000,510000000188,
187,,Segment,2,0,Image 1,1,1,100000000,510000000201,
183,,Segment,2,12,Image 1,6,1,100000000,510000000204,
140,,Segment,2,13,Image 1,6,1,100000000,510000000206,
136,,Segment,2,8,Image 1,5,1,100000000,510000000224,
166,,Segment,2,7,Image 1,5,1,100000000,510000000233,
163,,Segment,2,8,Image 1,6,1,100000000,510000000250,
164,,Segment,2,9,Image 1,5,1,100000000,510000000259,
196,,Segment,2,11,Image 1,4,1,100000000,510000000261,
112,,Segment,2,10,Image 1,5,1,100000000,510000000263,
151,,Segment,2,8,Image 1,5,1,100000000,510000000269,
152,,Segment,2,6,Image 1,5,1,100000000,510000000286,
176,,Segment,2,7,Image 1,3,1,100000000,510000000304,
176,,Segment,2,6,Image 1,3,1,100000000,510000000306,
176,,Segment,2,7,Image 1,4,1,100000000,510000000311,
172,,Segment,2,6,Image 1,4,1,100000000,510000000318,
172,,Segment,2,1,Image 1,1,1,100000000,510000000376,
173,,Segment,2,0,Image 1,1,1,100000000,510000000400,
172,,Segment,2,1,Image 1,2,1,100000000,510000000412,
180,,Segment,2,6,Image 1,4,1,100000001,510000000423,
192,,Segment,2,5,Image 1,4,1,100000001,510000000478,
193,,Segment,2,4,Image 1,3,1,100000001,510000000526,
170,,Segment,2,3,Image 1,3,1,100000001,510000000542,
178,,Segment,2,2,Image 1,2,1,100000001,510000000565,
198,,Segment,2,1,Image 1,1,1,100000001,510000000590,
198,,Segment,2,0,Image 1,1,1,100000001,510000000614,
103,,Segment,2,9,Image 1,3,1,100000001,510000000627,
163,,Segment,2,8,Image 1,3,1,100000001,510000000630,
163,,Segment,2,7,Image 1,3,1,100000001,510000000638,
119,,Segment,2,6,Image 1,3,1,100000001,510000000660,
142,,Segment,2,5,Image 1,3,1,100000001,510000000680,
146,,Segment,2,4,Image 1,2,1,100000001,510000000749,
110,,Segment,2,3,Image 1,2,1,100000001,510000000760,
