
Spine Terminal Pt Position Y
 ==================== 
Spine Terminal Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
21775.1,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000003445,
21764,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003448,
21763.8,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003450,
21777.6,µm,Spine,Spine Terminal Pt Position,0,1,1,100000002,610000003452,
21774.7,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000003454,
21759.8,µm,Spine,Spine Terminal Pt Position,5,4,1,100000001,610000003459,
21776.3,µm,Spine,Spine Terminal Pt Position,6,4,1,100000001,610000003461,
21758.7,µm,Spine,Spine Terminal Pt Position,5,3,1,100000001,610000003469,
21763.3,µm,Spine,Spine Terminal Pt Position,2,2,1,100000001,610000003472,
21784,µm,Spine,Spine Terminal Pt Position,2,2,1,100000002,610000003474,
21759.7,µm,Spine,Spine Terminal Pt Position,5,4,1,100000001,610000003477,
21778.4,µm,Spine,Spine Terminal Pt Position,7,4,1,100000001,610000003479,
21755.7,µm,Spine,Spine Terminal Pt Position,7,5,1,100000001,610000003482,
21771.2,µm,Spine,Spine Terminal Pt Position,6,5,1,100000000,610000003490,
21767.9,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000003495,
21778.3,µm,Spine,Spine Terminal Pt Position,6,2,1,100000001,610000003498,
21771.9,µm,Spine,Spine Terminal Pt Position,7,3,1,100000000,610000003500,
21777.2,µm,Spine,Spine Terminal Pt Position,,,1,,610000003503,
21771.6,µm,Spine,Spine Terminal Pt Position,8,6,1,100000000,610000003507,
21760.9,µm,Spine,Spine Terminal Pt Position,5,3,1,100000001,610000003510,
21771.1,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000003512,
21771.2,µm,Spine,Spine Terminal Pt Position,6,5,1,100000000,610000003518,
21770.4,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003521,
21769.9,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003524,
21771.5,µm,Spine,Spine Terminal Pt Position,9,5,1,100000000,610000003526,
21762,µm,Spine,Spine Terminal Pt Position,4,3,1,100000001,610000003528,
21766.8,µm,Spine,Spine Terminal Pt Position,,,1,,610000003530,
21763.4,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003535,
21771.4,µm,Spine,Spine Terminal Pt Position,7,3,1,100000000,610000003537,
21765.3,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003542,
21761.6,µm,Spine,Spine Terminal Pt Position,4,3,1,100000001,610000003549,
21770.3,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003553,
21771,µm,Spine,Spine Terminal Pt Position,7,5,1,100000000,610000003556,
21772.5,µm,Spine,Spine Terminal Pt Position,4,3,1,100000000,610000003558,
21772,µm,Spine,Spine Terminal Pt Position,5,4,1,100000000,610000003561,
21771.9,µm,Spine,Spine Terminal Pt Position,10,4,1,100000000,610000003564,
21770.6,µm,Spine,Spine Terminal Pt Position,2,2,1,100000001,610000003570,
21769,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003572,
21771.3,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000003574,
21759.5,µm,Spine,Spine Terminal Pt Position,5,4,1,100000001,610000003576,
21759.2,µm,Spine,Spine Terminal Pt Position,5,3,1,100000001,610000003582,
21768.1,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000003590,
21762.5,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003592,
21770.5,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003599,
21772.6,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003601,
21772.3,µm,Spine,Spine Terminal Pt Position,5,4,1,100000000,610000003603,
21771.6,µm,Spine,Spine Terminal Pt Position,6,4,1,100000000,610000003605,
21770.7,µm,Spine,Spine Terminal Pt Position,2,2,1,100000001,610000003612,
21771.5,µm,Spine,Spine Terminal Pt Position,6,5,1,100000000,610000003617,
21769.5,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003619,
21765.2,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003622,
21771.4,µm,Spine,Spine Terminal Pt Position,6,5,1,100000000,610000003624,
21765.5,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003628,
21767.2,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003632,
21767.4,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003634,
21754,µm,Spine,Spine Terminal Pt Position,7,4,1,100000001,610000003642,
21768.2,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003654,
21768.6,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003664,
21771.4,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000003676,
21764,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000003680,
21770.3,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003685,
21768.6,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003687,
21772.7,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003771,
21782.1,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003771,
21763.5,µm,Spine,Spine Terminal Pt Position,2,3,1,,610000003771,
21772.9,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003772,
21764.3,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000003772,
