
Segment Intensity Min Ch=3 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,13,Image 1,5,1,100000000,510000000020,
0,,Segment,3,12,Image 1,5,1,100000000,510000000023,
0,,Segment,3,11,Image 1,5,1,100000000,510000000030,
0,,Segment,3,10,Image 1,4,1,100000000,510000000051,
0,,Segment,3,9,Image 1,4,1,100000000,510000000056,
0,,Segment,3,8,Image 1,4,1,100000000,510000000060,
0,,Segment,3,7,Image 1,4,1,100000000,510000000068,
0,,Segment,3,6,Image 1,4,1,100000000,510000000093,
0,,Segment,3,5,Image 1,4,1,100000000,510000000121,
0,,Segment,3,4,Image 1,3,1,100000000,510000000164,
0,,Segment,3,3,Image 1,2,1,100000000,510000000183,
0,,Segment,3,1,Image 1,1,1,100000000,510000000188,
0,,Segment,3,0,Image 1,1,1,100000000,510000000201,
0,,Segment,3,12,Image 1,6,1,100000000,510000000204,
0,,Segment,3,13,Image 1,6,1,100000000,510000000206,
0,,Segment,3,8,Image 1,5,1,100000000,510000000224,
0,,Segment,3,7,Image 1,5,1,100000000,510000000233,
0,,Segment,3,8,Image 1,6,1,100000000,510000000250,
0,,Segment,3,9,Image 1,5,1,100000000,510000000259,
0,,Segment,3,11,Image 1,4,1,100000000,510000000261,
3,,Segment,3,10,Image 1,5,1,100000000,510000000263,
0,,Segment,3,8,Image 1,5,1,100000000,510000000269,
0,,Segment,3,6,Image 1,5,1,100000000,510000000286,
0,,Segment,3,7,Image 1,3,1,100000000,510000000304,
0,,Segment,3,6,Image 1,3,1,100000000,510000000306,
0,,Segment,3,7,Image 1,4,1,100000000,510000000311,
0,,Segment,3,6,Image 1,4,1,100000000,510000000318,
0,,Segment,3,1,Image 1,1,1,100000000,510000000376,
0,,Segment,3,0,Image 1,1,1,100000000,510000000400,
0,,Segment,3,1,Image 1,2,1,100000000,510000000412,
0,,Segment,3,6,Image 1,4,1,100000001,510000000423,
0,,Segment,3,5,Image 1,4,1,100000001,510000000478,
0,,Segment,3,4,Image 1,3,1,100000001,510000000526,
0,,Segment,3,3,Image 1,3,1,100000001,510000000542,
0,,Segment,3,2,Image 1,2,1,100000001,510000000565,
0,,Segment,3,1,Image 1,1,1,100000001,510000000590,
