
Spine Neck Mean Diameter
 ==================== 
Spine Neck Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.167407,µm,Spine,2,1,1,100000001,610000003445,
0.196426,µm,Spine,2,3,1,100000001,610000003448,
0.24375,µm,Spine,2,3,1,100000001,610000003450,
0.175985,µm,Spine,0,1,1,100000002,610000003452,
0.203408,µm,Spine,2,1,1,100000001,610000003454,
0.182496,µm,Spine,5,4,1,100000001,610000003459,
0.208843,µm,Spine,6,4,1,100000001,610000003461,
0.320355,µm,Spine,5,3,1,100000001,610000003469,
0.262027,µm,Spine,2,2,1,100000001,610000003472,
0.28027,µm,Spine,2,2,1,100000002,610000003474,
0.183033,µm,Spine,5,4,1,100000001,610000003477,
0.220483,µm,Spine,7,4,1,100000001,610000003479,
0.291544,µm,Spine,7,5,1,100000001,610000003482,
0.227789,µm,Spine,6,5,1,100000000,610000003490,
0.301852,µm,Spine,1,1,1,100000000,610000003495,
0.1625,µm,Spine,6,2,1,100000001,610000003498,
0.437102,µm,Spine,7,3,1,100000000,610000003500,
0,µm,Spine,0,1,1,100000002,610000003505,
0.230074,µm,Spine,8,6,1,100000000,610000003507,
0.235952,µm,Spine,5,3,1,100000001,610000003510,
0.40625,µm,Spine,1,2,1,100000001,610000003512,
0.220301,µm,Spine,6,5,1,100000000,610000003518,
0.300254,µm,Spine,2,2,1,100000000,610000003521,
0.186618,µm,Spine,1,1,1,100000001,610000003524,
0.249463,µm,Spine,9,5,1,100000000,610000003526,
0.263718,µm,Spine,4,3,1,100000001,610000003528,
0.479089,µm,Spine,3,2,1,100000001,610000003533,
0.259016,µm,Spine,2,3,1,100000001,610000003535,
0.386749,µm,Spine,7,3,1,100000000,610000003537,
0,µm,Spine,0,1,1,100000001,610000003542,
0,µm,Spine,3,2,1,100000001,610000003547,
0.2553,µm,Spine,4,3,1,100000001,610000003549,
0.426432,µm,Spine,1,1,1,100000001,610000003553,
0.329535,µm,Spine,7,5,1,100000000,610000003556,
0.305298,µm,Spine,4,3,1,100000000,610000003558,
0.355957,µm,Spine,5,4,1,100000000,610000003561,
0.198382,µm,Spine,10,4,1,100000000,610000003564,
0.202984,µm,Spine,2,2,1,100000001,610000003570,
0.633564,µm,Spine,2,1,1,100000000,610000003572,
0.314374,µm,Spine,1,2,1,100000001,610000003574,
0.293439,µm,Spine,5,4,1,100000001,610000003576,
0.405553,µm,Spine,5,3,1,100000001,610000003582,
0,µm,Spine,0,1,1,100000001,610000003584,
0,µm,Spine,3,2,1,100000001,610000003587,
0,µm,Spine,1,1,1,100000000,610000003590,
0.317891,µm,Spine,2,3,1,100000001,610000003592,
0,µm,Spine,3,2,1,100000001,610000003594,
0,µm,Spine,3,2,1,100000001,610000003596,
0.452327,µm,Spine,1,1,1,100000001,610000003599,
0.174819,µm,Spine,3,2,1,100000000,610000003601,
0,µm,Spine,5,4,1,100000000,610000003603,
0.304688,µm,Spine,6,4,1,100000000,610000003605,
0,µm,Spine,3,2,1,100000001,610000003610,
0.204098,µm,Spine,2,2,1,100000001,610000003612,
0,µm,Spine,0,1,1,100000002,610000003614,
0.24375,µm,Spine,6,5,1,100000000,610000003617,
0,µm,Spine,0,1,1,100000001,610000003619,
0,µm,Spine,0,1,1,100000001,610000003622,
0.24375,µm,Spine,6,5,1,100000000,610000003624,
0,µm,Spine,3,2,1,100000001,610000003626,
0,µm,Spine,0,1,1,100000001,610000003628,
0.286734,µm,Spine,0,1,1,100000001,610000003632,
0.287133,µm,Spine,0,1,1,100000001,610000003634,
0,µm,Spine,3,2,1,100000001,610000003637,
0.308008,µm,Spine,7,4,1,100000001,610000003642,
0,µm,Spine,3,2,1,100000001,610000003647,
0,µm,Spine,0,1,1,100000001,610000003651,
0.377927,µm,Spine,2,1,1,100000000,610000003654,
0,µm,Spine,3,2,1,100000001,610000003658,
0,µm,Spine,3,2,1,100000001,610000003660,
0.325,µm,Spine,2,1,1,100000000,610000003664,
0,µm,Spine,0,1,1,100000002,610000003667,
0,µm,Spine,3,2,1,100000001,610000003669,
0,µm,Spine,0,1,1,100000000,610000003676,
0,µm,Spine,1,2,1,100000001,610000003680,
0,µm,Spine,1,1,1,100000001,610000003685,
0,µm,Spine,2,1,1,100000000,610000003687,
0,µm,Spine,10,4,1,100000000,610000003706,
0,µm,Spine,9,4,1,100000000,610000003707,
0,µm,Spine,9,5,1,100000000,610000003708,
0,µm,Spine,6,4,1,100000000,610000003709,
0,µm,Spine,5,4,1,100000000,610000003710,
0,µm,Spine,5,4,1,100000000,610000003711,
0,µm,Spine,5,4,1,100000000,610000003712,
0,µm,Spine,5,4,1,100000000,610000003713,
0,µm,Spine,3,2,1,100000000,610000003714,
0,µm,Spine,3,2,1,100000000,610000003715,
0,µm,Spine,1,2,1,100000000,610000003716,
0,µm,Spine,2,2,1,100000000,610000003717,
0,µm,Spine,4,3,1,100000000,610000003718,
0,µm,Spine,6,4,1,100000001,610000003719,
0,µm,Spine,7,4,1,100000001,610000003720,
0,µm,Spine,6,3,1,100000001,610000003721,
0,µm,Spine,5,3,1,100000001,610000003722,
0,µm,Spine,5,3,1,100000001,610000003723,
0,µm,Spine,4,3,1,100000001,610000003724,
0,µm,Spine,2,3,1,100000001,610000003725,
0,µm,Spine,1,2,1,100000001,610000003726,
0,µm,Spine,6,4,1,100000001,610000003732,
0,µm,Spine,6,4,1,100000001,610000003733,
0,µm,Spine,6,2,1,100000001,610000003734,
0,µm,Spine,4,2,1,100000001,610000003735,
0,µm,Spine,4,3,1,100000001,610000003736,
0,µm,Spine,4,4,1,100000001,610000003737,
0,µm,Spine,4,3,1,100000001,610000003738,
0,µm,Spine,4,3,1,100000001,610000003739,
0,µm,Spine,4,3,1,100000001,610000003740,
0,µm,Spine,3,3,1,100000001,610000003741,
0,µm,Spine,3,3,1,100000001,610000003742,
0,µm,Spine,7,4,1,100000001,610000003743,
0,µm,Spine,7,4,1,100000001,610000003744,
0,µm,Spine,7,3,1,100000001,610000003745,
0,µm,Spine,7,2,1,100000001,610000003746,
0,µm,Spine,1,2,1,100000001,610000003749,
0,µm,Spine,0,1,1,100000001,610000003750,
0,µm,Spine,3,3,1,100000001,610000003751,
0,µm,Spine,2,2,1,100000001,610000003752,
0,µm,Spine,2,2,1,100000001,610000003753,
0,µm,Spine,7,3,1,100000001,610000003757,
0,µm,Spine,2,1,1,100000001,610000003758,
0,µm,Spine,1,1,1,100000001,610000003759,
0,µm,Spine,3,2,1,100000001,610000003760,
0,µm,Spine,1,2,1,100000001,610000003761,
0,µm,Spine,1,1,1,100000001,610000003762,
0,µm,Spine,1,1,1,100000001,610000003763,
0,µm,Spine,3,2,1,100000002,610000003764,
0,µm,Spine,2,2,1,100000002,610000003765,
0,µm,Spine,0,1,1,100000002,610000003766,
0,µm,Spine,3,2,1,100000002,610000003767,
0,µm,Spine,3,2,1,100000002,610000003768,
0,µm,Spine,0,1,1,100000002,610000003769,
