
Filament Volume (sum)
 ==================== 
Filament Volume (sum),Unit,Category,Time,ID,
6.93963,µm^3,Filament,1,100000000,
17.9452,µm^3,Filament,1,100000001,
3.36403,µm^3,Filament,1,100000002,
