
Spine Center Number of Voxel Ch=4 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Spine,4,4,Image 1,3,1,100000001,610000003738,
2,,Spine,4,4,Image 1,3,1,100000001,610000003739,
2,,Spine,4,4,Image 1,3,1,100000001,610000003740,
2,,Spine,4,3,Image 1,3,1,100000001,610000003741,
2,,Spine,4,3,Image 1,3,1,100000001,610000003742,
2,,Spine,4,7,Image 1,4,1,100000001,610000003743,
2,,Spine,4,7,Image 1,4,1,100000001,610000003744,
2,,Spine,4,7,Image 1,3,1,100000001,610000003745,
2,,Spine,4,7,Image 1,2,1,100000001,610000003746,
2,,Spine,4,1,Image 1,2,1,100000001,610000003749,
2,,Spine,4,0,Image 1,1,1,100000001,610000003750,
2,,Spine,4,3,Image 1,3,1,100000001,610000003751,
2,,Spine,4,2,Image 1,2,1,100000001,610000003752,
2,,Spine,4,2,Image 1,2,1,100000001,610000003753,
2,,Spine,4,7,Image 1,3,1,100000001,610000003757,
2,,Spine,4,2,Image 1,1,1,100000001,610000003758,
1,,Spine,4,1,Image 1,1,1,100000001,610000003759,
2,,Spine,4,3,Image 1,2,1,100000001,610000003760,
2,,Spine,4,1,Image 1,2,1,100000001,610000003761,
2,,Spine,4,1,Image 1,1,1,100000001,610000003762,
2,,Spine,4,1,Image 1,1,1,100000001,610000003763,
2,,Spine,4,3,Image 1,2,1,100000002,610000003764,
2,,Spine,4,2,Image 1,2,1,100000002,610000003765,
2,,Spine,4,0,Image 1,1,1,100000002,610000003766,
2,,Spine,4,3,Image 1,2,1,100000002,610000003767,
2,,Spine,4,3,Image 1,2,1,100000002,610000003768,
2,,Spine,4,0,Image 1,1,1,100000002,610000003769,
