
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.233607,,Surface,1,0,
0.457448,,Surface,1,1,
0.47182,,Surface,1,2,
0.481463,,Surface,1,3,
