
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
15.1861,,Surface,2,Image 1,1,0,
12.7123,,Surface,2,Image 1,1,1,
13.9931,,Surface,2,Image 1,1,2,
12.0471,,Surface,2,Image 1,1,3,
