
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
336221,,Surface,4,Image 1,1,0,
201317,,Surface,4,Image 1,1,1,
105729,,Surface,4,Image 1,1,2,
182101,,Surface,4,Image 1,1,3,
