
Spine Attachment Pt Position
 ==================== 
Spine Attachment Pt Position X,Spine Attachment Pt Position Y,Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
282.192,20816.3,1391.49,µm,Spine,Spine Attachment Pt Position,0,1,1,100000004,610000009369,
311.873,20827.8,1388.44,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000009479,
311.539,20827.7,1388.52,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000009504,
278.338,20815.9,1390.69,µm,Spine,Spine Attachment Pt Position,0,1,1,100000004,610000009546,
280.068,20801.9,1389.84,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000009569,
280.14,20814.6,1391.9,µm,Spine,Spine Attachment Pt Position,0,1,1,100000004,610000009650,
281.402,20803.3,1391.12,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000009721,
278.083,20789.8,1388.61,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000009920,
279.734,20789.5,1390.24,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000009949,
280.084,20814.9,1391.39,µm,Spine,Spine Attachment Pt Position,0,1,1,100000004,610000010011,
312.048,20826.4,1388.68,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000010074,
312.25,20826.7,1388.62,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010895,
311.933,20826.2,1388.73,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010896,
311.735,20825.9,1388.8,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010897,
293.164,20792.2,1391.74,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010916,
282.494,20803.9,1389.18,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010917,
294.414,20795,1392.28,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010929,
294.608,20795.2,1392.28,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010930,
294.815,20795.7,1392.28,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010931,
294.873,20796.3,1392.28,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010932,
280.332,20789.2,1389.68,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010945,
312.052,20827.8,1388.4,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010948,
311.698,20827.8,1388.48,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010949,
316.445,20827.4,1387.91,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010965,
281.537,20803.2,1391.07,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010970,
279.688,20801.7,1389.83,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010984,
279.116,20801.5,1389.98,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010985,
282.827,20803.9,1388.71,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000010986,
283.091,20818.2,1391.16,µm,Spine,Spine Attachment Pt Position,1,1,1,100000004,610000008962,
291.847,20792.2,1391.46,µm,Spine,Spine Attachment Pt Position,1,1,1,100000003,610000009789,
315.049,20828.5,1388.95,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000009844,
311.594,20825.4,1388.86,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000009983,
274.786,20813.8,1390.79,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000010907,
277.592,20790.3,1388.77,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000010911,
295.146,20797.2,1391.82,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000010933,
276.45,20788.8,1390.42,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000009337,
279.427,20786,1389.79,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000009513,
279.987,20812.1,1391.54,µm,Spine,Spine Attachment Pt Position,1,2,1,100000004,610000009594,
276.906,20789.7,1388.93,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000009612,
277.337,20789.7,1388.7,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000009692,
279.504,20786.3,1389.45,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000009805,
282.183,20786.3,1387.91,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000010015,
295.954,20792.4,1389.85,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000010896,
282.428,20814.6,1392.16,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000010898,
277.233,20789.7,1388.77,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000010909,
277.649,20789.8,1388.6,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000010910,
278.685,20785.1,1390.72,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000010946,
279.465,20785.7,1391.59,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000010947,
282.22,20795.9,1389.57,µm,Spine,Spine Attachment Pt Position,10,1,1,100000000,610000009308,
305.321,20787.8,1388.99,µm,Spine,Spine Attachment Pt Position,10,1,1,,610000010903,
288.962,20808.5,1389.6,µm,Spine,Spine Attachment Pt Position,10,1,1,,610000010956,
280.223,20797.5,1390.62,µm,Spine,Spine Attachment Pt Position,10,2,1,100000000,610000009529,
280.817,20796.9,1390.27,µm,Spine,Spine Attachment Pt Position,10,2,1,,610000010895,
280.888,20796.9,1390.19,µm,Spine,Spine Attachment Pt Position,10,2,1,,610000010896,
307.491,20791.9,1387.91,µm,Spine,Spine Attachment Pt Position,10,2,1,,610000010899,
288.379,20810.1,1389.38,µm,Spine,Spine Attachment Pt Position,10,2,1,,610000010957,
288.731,20809.4,1389.77,µm,Spine,Spine Attachment Pt Position,10,2,1,,610000010958,
279.11,20794.3,1389.77,µm,Spine,Spine Attachment Pt Position,10,3,1,,610000010923,
289.705,20813,1389.77,µm,Spine,Spine Attachment Pt Position,10,4,1,100000002,610000009578,
294.639,20784.5,1389.45,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000010898,
292.475,20799.2,1388.7,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000010905,
312.488,20823.6,1389.51,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000010931,
273.736,20794.3,1388.54,µm,Spine,Spine Attachment Pt Position,11,2,1,100000000,610000009619,
274.649,20796,1388.9,µm,Spine,Spine Attachment Pt Position,11,3,1,100000000,610000009312,
274.331,20795.3,1389,µm,Spine,Spine Attachment Pt Position,11,3,1,100000000,610000009592,
289.51,20814.3,1389.73,µm,Spine,Spine Attachment Pt Position,11,4,1,,610000010969,
293.158,20798.3,1388.29,µm,Spine,Spine Attachment Pt Position,11,5,1,,610000010906,
292.793,20798.5,1388.45,µm,Spine,Spine Attachment Pt Position,11,5,1,,610000010907,
314.212,20820,1389.58,µm,Spine,Spine Attachment Pt Position,11,5,1,,610000010915,
309.428,20826,1392.02,µm,Spine,Spine Attachment Pt Position,11,5,1,,610000010941,
290.151,20809,1389.09,µm,Spine,Spine Attachment Pt Position,12,1,1,,610000010954,
290.048,20808.9,1389.12,µm,Spine,Spine Attachment Pt Position,12,1,1,,610000010955,
306.106,20786.7,1388.64,µm,Spine,Spine Attachment Pt Position,12,2,1,,610000010902,
292.307,20797.1,1388.74,µm,Spine,Spine Attachment Pt Position,12,4,1,,610000010911,
292.78,20795.4,1388.25,µm,Spine,Spine Attachment Pt Position,12,4,1,,610000010912,
287.68,20815.5,1389.83,µm,Spine,Spine Attachment Pt Position,12,5,1,100000002,610000009275,
291.345,20797.6,1389.08,µm,Spine,Spine Attachment Pt Position,12,5,1,,610000010909,
291.422,20797.6,1389.01,µm,Spine,Spine Attachment Pt Position,12,5,1,,610000010910,
291.197,20809.3,1388.92,µm,Spine,Spine Attachment Pt Position,13,1,1,100000002,610000008967,
291.76,20809.4,1389.02,µm,Spine,Spine Attachment Pt Position,13,1,1,100000002,610000009087,
306.68,20786,1388.95,µm,Spine,Spine Attachment Pt Position,13,1,1,100000003,610000009286,
306.673,20785.6,1388.43,µm,Spine,Spine Attachment Pt Position,13,1,1,,610000010900,
306.698,20785.7,1388.5,µm,Spine,Spine Attachment Pt Position,13,1,1,,610000010901,
291.794,20808.4,1388.03,µm,Spine,Spine Attachment Pt Position,13,2,1,,610000010952,
291.691,20808.4,1388.18,µm,Spine,Spine Attachment Pt Position,13,2,1,,610000010953,
310.38,20829.8,1390.59,µm,Spine,Spine Attachment Pt Position,13,4,1,100000001,610000009756,
310.321,20829.8,1390.37,µm,Spine,Spine Attachment Pt Position,13,4,1,100000001,610000009773,
310.353,20829.1,1391.51,µm,Spine,Spine Attachment Pt Position,13,4,1,100000001,610000009932,
310.307,20828.4,1391.6,µm,Spine,Spine Attachment Pt Position,13,4,1,,610000010942,
310.342,20828.8,1391.59,µm,Spine,Spine Attachment Pt Position,13,4,1,,610000010943,
310.354,20829.2,1391.44,µm,Spine,Spine Attachment Pt Position,13,4,1,,610000010944,
310.367,20829.3,1391.38,µm,Spine,Spine Attachment Pt Position,13,4,1,,610000010945,
286.831,20815,1389.56,µm,Spine,Spine Attachment Pt Position,13,5,1,100000002,610000009769,
291.611,20794.2,1388.48,µm,Spine,Spine Attachment Pt Position,13,5,1,100000002,610000010097,
299.667,20797.2,1390.38,µm,Spine,Spine Attachment Pt Position,13,5,1,,610000010908,
