
Filament Position Z
 ==================== 
Filament Position Z,Unit,Category,Collection,Time,ID,
1389.3,µm,Filament,Filament Position,1,100000000,
1389.52,µm,Filament,Filament Position,1,100000001,
1389.66,µm,Filament,Filament Position,1,100000002,
1390.62,µm,Filament,Filament Position,1,100000003,
1391.3,µm,Filament,Filament Position,1,100000004,
