
Filament No. Segment Segments
 ==================== 
Filament No. Segment Segments,Unit,Category,Time,ID,
130,,Filament,1,100000000,
185,,Filament,1,100000001,
189,,Filament,1,100000002,
146,,Filament,1,100000003,
69,,Filament,1,100000004,
