
Spine Attachment Pt Distance from Origin
 ==================== 
Spine Attachment Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20866.5,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000004,610000008962,
20836.3,µm,Spine,Spine Attachment Pt Distance from Origin,7,2,1,100000003,610000008965,
20857.7,µm,Spine,Spine Attachment Pt Distance from Origin,13,1,1,100000002,610000008967,
20848.5,µm,Spine,Spine Attachment Pt Distance from Origin,4,1,1,100000002,610000008970,
20838.3,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000003,610000008975,
20877.4,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000001,610000009038,
20840.3,µm,Spine,Spine Attachment Pt Distance from Origin,6,5,1,100000003,610000009061,
20843,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000003,610000009078,
20857.8,µm,Spine,Spine Attachment Pt Distance from Origin,13,1,1,100000002,610000009087,
20847.8,µm,Spine,Spine Attachment Pt Distance from Origin,4,3,1,100000003,610000009089,
20833.4,µm,Spine,Spine Attachment Pt Distance from Origin,9,4,1,100000003,610000009092,
20865.6,µm,Spine,Spine Attachment Pt Distance from Origin,14,8,1,100000001,610000009094,
20857.2,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000002,610000009114,
20848.6,µm,Spine,Spine Attachment Pt Distance from Origin,4,1,1,100000002,610000009117,
20832.7,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,100000000,610000009122,
20849.1,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000002,610000009180,
20847.8,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000002,610000009182,
20875.7,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,100000001,610000009191,
20875.8,µm,Spine,Spine Attachment Pt Distance from Origin,8,4,1,100000001,610000009204,
20857,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000002,610000009210,
20850.8,µm,Spine,Spine Attachment Pt Distance from Origin,3,4,1,100000003,610000009212,
20865.5,µm,Spine,Spine Attachment Pt Distance from Origin,14,8,1,100000001,610000009228,
20839.6,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,100000003,610000009245,
20830.3,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000000,610000009264,
20848.8,µm,Spine,Spine Attachment Pt Distance from Origin,3,3,1,100000003,610000009273,
20863.9,µm,Spine,Spine Attachment Pt Distance from Origin,12,5,1,100000002,610000009275,
