
Spine Part Length Head
 ==================== 
Spine Part Length Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.690192,µm,Spine,Spine Part Length,6,4,1,100000002,610000008924,
0.43878,µm,Spine,Spine Part Length,6,4,1,100000002,610000008943,
0.374138,µm,Spine,Spine Part Length,6,4,1,100000002,610000008958,
0.279233,µm,Spine,Spine Part Length,1,1,1,100000004,610000008962,
0.10791,µm,Spine,Spine Part Length,7,2,1,100000003,610000008965,
0.08125,µm,Spine,Spine Part Length,13,1,1,100000002,610000008967,
0.11805,µm,Spine,Spine Part Length,4,1,1,100000002,610000008970,
0.229393,µm,Spine,Spine Part Length,5,1,1,100000003,610000008975,
0.668113,µm,Spine,Spine Part Length,2,2,1,100000000,610000008988,
0.91129,µm,Spine,Spine Part Length,0,,1,100000001,610000009011,
0.875327,µm,Spine,Spine Part Length,3,2,1,100000001,610000009031,
0.198814,µm,Spine,Spine Part Length,3,1,1,100000001,610000009036,
0.0838665,µm,Spine,Spine Part Length,3,1,1,100000001,610000009038,
0.856199,µm,Spine,Spine Part Length,0,,1,100000001,610000009059,
0.08125,µm,Spine,Spine Part Length,6,5,1,100000003,610000009061,
0.321981,µm,Spine,Spine Part Length,3,2,1,100000000,610000009075,
0.103296,µm,Spine,Spine Part Length,3,2,1,100000003,610000009078,
0.36929,µm,Spine,Spine Part Length,0,1,1,100000001,610000009084,
0.08125,µm,Spine,Spine Part Length,13,1,1,100000002,610000009087,
0.0837891,µm,Spine,Spine Part Length,4,3,1,100000003,610000009089,
0.0862303,µm,Spine,Spine Part Length,9,4,1,100000003,610000009092,
0.0813996,µm,Spine,Spine Part Length,14,8,1,100000001,610000009094,
0.850507,µm,Spine,Spine Part Length,0,,1,100000001,610000009112,
0.184019,µm,Spine,Spine Part Length,4,2,1,100000002,610000009114,
0.107714,µm,Spine,Spine Part Length,4,1,1,100000002,610000009117,
0.218432,µm,Spine,Spine Part Length,7,3,1,100000000,610000009122,
0.235267,µm,Spine,Spine Part Length,0,1,1,100000001,610000009129,
0.232239,µm,Spine,Spine Part Length,3,2,1,100000004,610000009135,
0.237704,µm,Spine,Spine Part Length,9,4,1,100000000,610000009140,
0.290087,µm,Spine,Spine Part Length,5,2,1,100000000,610000009146,
0.58719,µm,Spine,Spine Part Length,0,,1,100000001,610000009165,
0.0932767,µm,Spine,Spine Part Length,5,3,1,100000003,610000009167,
0.299774,µm,Spine,Spine Part Length,3,2,1,100000000,610000009177,
0.08125,µm,Spine,Spine Part Length,3,1,1,100000002,610000009180,
0.0969078,µm,Spine,Spine Part Length,2,2,1,100000002,610000009182,
0.219835,µm,Spine,Spine Part Length,2,1,1,100000002,610000009187,
0.191912,µm,Spine,Spine Part Length,2,1,1,100000001,610000009191,
