
Spine Center Intensity Sum Ch=2 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
226,,Spine,2,6,Image 1,2,1,100000003,610000009465,
149,,Spine,2,2,Image 1,3,1,100000001,610000009471,
699,,Spine,2,2,Image 1,2,1,100000000,610000009477,
214,,Spine,2,0,Image 1,1,1,100000001,610000009479,
126,,Spine,2,5,Image 1,2,1,100000003,610000009481,
149,,Spine,2,8,Image 1,4,1,100000002,610000009483,
150,,Spine,2,0,Image 1,1,1,100000001,610000009486,
210,,Spine,2,6,Image 1,1,1,100000002,610000009490,
227,,Spine,2,2,Image 1,2,1,100000002,610000009493,
267,,Spine,2,4,Image 1,2,1,100000002,610000009497,
117,,Spine,2,3,Image 1,2,1,100000003,610000009499,
165,,Spine,2,0,Image 1,1,1,100000003,610000009502,
176,,Spine,2,0,Image 1,1,1,100000001,610000009504,
944,,Spine,2,3,Image 1,1,1,100000001,610000009511,
109,,Spine,2,1,Image 1,2,1,100000000,610000009513,
54,,Spine,2,8,Image 1,2,1,100000000,610000009515,
209,,Spine,2,5,Image 1,2,1,100000000,610000009518,
104,,Spine,2,15,Image 1,5,1,100000002,610000009520,
188,,Spine,2,8,Image 1,3,1,100000000,610000009524,
177,,Spine,2,8,Image 1,4,1,100000001,610000009526,
120,,Spine,2,10,Image 1,2,1,100000000,610000009529,
201,,Spine,2,2,Image 1,1,1,100000001,610000009534,
329,,Spine,2,2,Image 1,2,1,100000000,610000009538,
159,,Spine,2,15,Image 1,8,1,100000001,610000009540,
144,,Spine,2,14,Image 1,4,1,100000001,610000009542,
267,,Spine,2,0,Image 1,1,1,100000004,610000009546,
197,,Spine,2,4,Image 1,2,1,100000002,610000009549,
201,,Spine,2,3,Image 1,2,1,100000004,610000009552,
464,,Spine,2,2,Image 1,2,1,100000000,610000009556,
199,,Spine,2,8,Image 1,4,1,100000001,610000009559,
193,,Spine,2,4,Image 1,3,1,100000002,610000009561,
380,,Spine,2,5,Image 1,2,1,100000002,610000009565,
69,,Spine,2,2,Image 1,2,1,100000004,610000009567,
140,,Spine,2,0,Image 1,1,1,100000002,610000009569,
138,,Spine,2,4,Image 1,4,1,100000002,610000009571,
99,,Spine,2,0,Image 1,1,1,100000004,610000009573,
288,,Spine,2,2,Image 1,1,1,100000000,610000009576,
144,,Spine,2,10,Image 1,4,1,100000002,610000009578,
348,,Spine,2,4,Image 1,4,1,100000000,610000009581,
72,,Spine,2,3,Image 1,1,1,100000001,610000009583,
175,,Spine,2,7,Image 1,3,1,100000000,610000009585,
152,,Spine,2,2,Image 1,2,1,100000002,610000009590,
124,,Spine,2,11,Image 1,3,1,100000000,610000009592,
144,,Spine,2,1,Image 1,2,1,100000004,610000009594,
151,,Spine,2,10,Image 1,1,1,100000002,610000009596,
113,,Spine,2,0,Image 1,1,1,100000002,610000009598,
602,,Spine,2,2,Image 1,1,1,100000001,610000009604,
170,,Spine,2,2,Image 1,2,1,100000000,610000009606,
208,,Spine,2,7,Image 1,2,1,100000002,610000009610,
203,,Spine,2,1,Image 1,2,1,100000000,610000009612,
158,,Spine,2,2,Image 1,1,1,100000002,610000009614,
164,,Spine,2,4,Image 1,2,1,100000002,610000009617,
126,,Spine,2,11,Image 1,2,1,100000000,610000009619,
115,,Spine,2,2,Image 1,2,1,100000001,610000009622,
157,,Spine,2,8,Image 1,1,1,100000000,610000009624,
195,,Spine,2,2,Image 1,1,1,100000004,610000009626,
175,,Spine,2,2,Image 1,1,1,100000002,610000009628,
202,,Spine,2,4,Image 1,4,1,100000002,610000009633,
92,,Spine,2,6,Image 1,4,1,100000002,610000009635,
238,,Spine,2,14,Image 1,1,1,100000002,610000009639,
166,,Spine,2,16,Image 1,4,1,100000001,610000009641,
340,,Spine,2,3,Image 1,2,1,100000000,610000009644,
280,,Spine,2,3,Image 1,2,1,100000002,610000009646,
155,,Spine,2,0,Image 1,1,1,100000004,610000009650,
102,,Spine,2,3,Image 1,2,1,100000001,610000009655,
326,,Spine,2,17,Image 1,2,1,100000002,610000009658,
101,,Spine,2,9,Image 1,4,1,100000001,610000009660,
96,,Spine,2,5,Image 1,3,1,100000003,610000009662,
400,,Spine,2,2,Image 1,2,1,100000000,610000009666,
253,,Spine,2,2,Image 1,2,1,100000001,610000009669,
151,,Spine,2,4,Image 1,2,1,100000002,610000009673,
284,,Spine,2,0,Image 1,1,1,100000002,610000009675,
581,,Spine,2,15,Image 1,7,1,100000001,610000009681,
341,,Spine,2,5,Image 1,2,1,100000000,610000009685,
153,,Spine,2,8,Image 1,1,1,100000002,610000009687,
85,,Spine,2,0,Image 1,1,1,100000004,610000009689,
83,,Spine,2,1,Image 1,2,1,100000000,610000009692,
179,,Spine,2,2,Image 1,1,1,100000001,610000009695,
179,,Spine,2,4,Image 1,3,1,100000004,610000009697,
190,,Spine,2,8,Image 1,3,1,100000002,610000009701,
155,,Spine,2,13,Image 1,1,1,100000003,610000009703,
164,,Spine,2,8,Image 1,1,1,100000002,610000009706,
171,,Spine,2,4,Image 1,4,1,100000002,610000009708,
142,,Spine,2,6,Image 1,2,1,100000003,610000009710,
116,,Spine,2,3,Image 1,3,1,100000003,610000009712,
278,,Spine,2,5,Image 1,3,1,100000002,610000009714,
232,,Spine,2,15,Image 1,3,1,100000002,610000009717,
221,,Spine,2,0,Image 1,1,1,100000002,610000009721,
267,,Spine,2,6,Image 1,2,1,100000000,610000009726,
175,,Spine,2,0,Image 1,1,1,100000004,610000009729,
174,,Spine,2,14,Image 1,3,1,100000001,610000009731,
422,,Spine,2,15,Image 1,7,1,100000001,610000009735,
195,,Spine,2,6,Image 1,4,1,100000002,610000009738,
170,,Spine,2,2,Image 1,2,1,100000002,610000009742,
213,,Spine,2,0,Image 1,1,1,100000001,610000009746,
211,,Spine,2,3,Image 1,2,1,100000004,610000009749,
173,,Spine,2,2,Image 1,1,1,100000000,610000009752,
276,,Spine,2,13,Image 1,4,1,100000001,610000009756,
405,,Spine,2,4,Image 1,2,1,100000001,610000009760,
334,,Spine,2,1,Image 1,2,1,100000000,610000009767,
195,,Spine,2,13,Image 1,5,1,100000002,610000009769,
195,,Spine,2,13,Image 1,4,1,100000001,610000009773,
127,,Spine,2,0,Image 1,1,1,100000004,610000009776,
206,,Spine,2,0,Image 1,1,1,100000002,610000009780,
264,,Spine,2,14,Image 1,4,1,100000001,610000009785,
156,,Spine,2,1,Image 1,1,1,100000003,610000009789,
173,,Spine,2,17,Image 1,9,1,100000001,610000009791,
130,,Spine,2,0,Image 1,1,1,100000004,610000009793,
156,,Spine,2,2,Image 1,2,1,100000002,610000009800,
223,,Spine,2,0,Image 1,1,1,100000001,610000009803,
160,,Spine,2,1,Image 1,2,1,100000000,610000009805,
128,,Spine,2,0,Image 1,1,1,100000004,610000009808,
191,,Spine,2,7,Image 1,2,1,100000002,610000009814,
206,,Spine,2,2,Image 1,2,1,100000001,610000009817,
261,,Spine,2,2,Image 1,2,1,100000000,610000009819,
151,,Spine,2,0,Image 1,1,1,100000004,610000009826,
209,,Spine,2,0,Image 1,1,1,100000004,610000009830,
231,,Spine,2,2,Image 1,1,1,100000002,610000009833,
218,,Spine,2,14,Image 1,5,1,100000001,610000009836,
285,,Spine,2,9,Image 1,2,1,100000001,610000009839,
245,,Spine,2,0,Image 1,1,1,100000000,610000009842,
110,,Spine,2,1,Image 1,1,1,100000001,610000009844,
168,,Spine,2,14,Image 1,9,1,100000001,610000009846,
189,,Spine,2,3,Image 1,2,1,100000000,610000009851,
233,,Spine,2,16,Image 1,3,1,100000001,610000009854,
191,,Spine,2,6,Image 1,2,1,100000000,610000009858,
495,,Spine,2,1,Image 1,2,1,100000000,610000009863,
68,,Spine,2,0,Image 1,1,1,100000004,610000009870,
308,,Spine,2,2,Image 1,2,1,100000000,610000009875,
280,,Spine,2,5,Image 1,2,1,100000000,610000009878,
278,,Spine,2,3,Image 1,1,1,100000000,610000009888,
278,,Spine,2,10,Image 1,2,1,100000000,610000009898,
338,,Spine,2,6,Image 1,3,1,100000001,610000009901,
112,,Spine,2,0,Image 1,1,1,100000004,610000009904,
341,,Spine,2,1,Image 1,2,1,100000000,610000009909,
269,,Spine,2,5,Image 1,2,1,100000002,610000009913,
282,,Spine,2,8,Image 1,4,1,100000001,610000009916,
235,,Spine,2,0,Image 1,1,1,100000000,610000009920,
259,,Spine,2,14,Image 1,5,1,100000001,610000009925,
257,,Spine,2,1,Image 1,2,1,100000000,610000009929,
269,,Spine,2,13,Image 1,4,1,100000001,610000009932,
252,,Spine,2,0,Image 1,1,1,100000002,610000009935,
299,,Spine,2,0,Image 1,1,1,100000002,610000009939,
247,,Spine,2,0,Image 1,1,1,100000000,610000009949,
235,,Spine,2,15,Image 1,7,1,100000001,610000009961,
338,,Spine,2,14,Image 1,4,1,100000001,610000009966,
231,,Spine,2,1,Image 1,2,1,100000000,610000009974,
205,,Spine,2,3,Image 1,2,1,100000004,610000009978,
323,,Spine,2,1,Image 1,1,1,100000001,610000009983,
406,,Spine,2,1,Image 1,2,1,100000000,610000009995,
312,,Spine,2,4,Image 1,2,1,100000000,610000010003,
253,,Spine,2,0,Image 1,1,1,100000004,610000010011,
304,,Spine,2,4,Image 1,2,1,100000000,610000010013,
307,,Spine,2,1,Image 1,2,1,100000000,610000010015,
309,,Spine,2,5,Image 1,1,1,100000002,610000010029,
359,,Spine,2,2,Image 1,2,1,100000001,610000010058,
202,,Spine,2,0,Image 1,1,1,100000004,610000010060,
162,,Spine,2,0,Image 1,1,1,100000002,610000010066,
458,,Spine,2,0,Image 1,1,1,100000001,610000010074,
322,,Spine,2,13,Image 1,5,1,100000002,610000010097,
171,,Spine,2,2,Image 1,2,1,100000000,610000010126,
223,,Spine,2,2,Image 1,2,1,100000000,610000010127,
164,,Spine,2,2,Image 1,2,1,100000000,610000010128,
97,,Spine,2,2,Image 1,2,1,100000000,610000010129,
131,,Spine,2,10,Image 1,2,1,100000000,610000010130,
188,,Spine,2,10,Image 1,2,1,100000000,610000010131,
130,,Spine,2,8,Image 1,3,1,100000000,610000010132,
84,,Spine,2,6,Image 1,1,1,100000000,610000010133,
91,,Spine,2,6,Image 1,1,1,100000000,610000010134,
101,,Spine,2,5,Image 1,1,1,100000000,610000010135,
131,,Spine,2,5,Image 1,1,1,100000000,610000010136,
105,,Spine,2,4,Image 1,2,1,100000000,610000010137,
181,,Spine,2,2,Image 1,1,1,100000000,610000010138,
46,,Spine,2,10,Image 1,3,1,100000000,610000010139,
101,,Spine,2,9,Image 1,4,1,100000000,610000010140,
172,,Spine,2,9,Image 1,4,1,100000000,610000010141,
92,,Spine,2,9,Image 1,4,1,100000000,610000010142,
62,,Spine,2,9,Image 1,4,1,100000000,610000010143,
125,,Spine,2,8,Image 1,3,1,100000000,610000010144,
114,,Spine,2,8,Image 1,3,1,100000000,610000010145,
96,,Spine,2,8,Image 1,2,1,100000000,610000010146,
109,,Spine,2,9,Image 1,1,1,100000000,610000010147,
165,,Spine,2,8,Image 1,2,1,100000000,610000010148,
138,,Spine,2,8,Image 1,2,1,100000000,610000010149,
104,,Spine,2,3,Image 1,2,1,100000000,610000010150,
81,,Spine,2,1,Image 1,1,1,100000000,610000010151,
164,,Spine,2,2,Image 1,2,1,100000000,610000010152,
162,,Spine,2,1,Image 1,2,1,100000000,610000010153,
130,,Spine,2,1,Image 1,2,1,100000000,610000010154,
225,,Spine,2,0,Image 1,1,1,100000000,610000010155,
106,,Spine,2,2,Image 1,1,1,100000000,610000010156,
138,,Spine,2,9,Image 1,4,1,100000000,610000010157,
193,,Spine,2,8,Image 1,3,1,100000000,610000010158,
200,,Spine,2,7,Image 1,2,1,100000000,610000010159,
124,,Spine,2,5,Image 1,2,1,100000000,610000010160,
163,,Spine,2,5,Image 1,2,1,100000000,610000010161,
136,,Spine,2,4,Image 1,3,1,100000000,610000010162,
231,,Spine,2,2,Image 1,2,1,100000000,610000010163,
204,,Spine,2,5,Image 1,2,1,100000000,610000010164,
108,,Spine,2,4,Image 1,2,1,100000000,610000010165,
177,,Spine,2,4,Image 1,2,1,100000000,610000010166,
240,,Spine,2,4,Image 1,2,1,100000000,610000010167,
137,,Spine,2,4,Image 1,3,1,100000000,610000010168,
81,,Spine,2,4,Image 1,3,1,100000000,610000010169,
186,,Spine,2,3,Image 1,2,1,100000000,610000010170,
176,,Spine,2,3,Image 1,2,1,100000000,610000010171,
93,,Spine,2,3,Image 1,2,1,100000000,610000010172,
88,,Spine,2,2,Image 1,2,1,100000000,610000010173,
254,,Spine,2,3,Image 1,2,1,100000000,610000010174,
221,,Spine,2,0,Image 1,1,1,100000000,610000010175,
200,,Spine,2,0,Image 1,1,1,100000000,610000010176,
103,,Spine,2,1,Image 1,2,1,100000000,610000010180,
