
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.246947,µm,Spine,Spine Part Mean Diameter,6,4,1,100000002,610000008924,
0.217726,µm,Spine,Spine Part Mean Diameter,6,4,1,100000002,610000008943,
0.212803,µm,Spine,Spine Part Mean Diameter,6,4,1,100000002,610000008958,
0.292776,µm,Spine,Spine Part Mean Diameter,1,1,1,100000004,610000008962,
0.241707,µm,Spine,Spine Part Mean Diameter,7,2,1,100000003,610000008965,
0.327044,µm,Spine,Spine Part Mean Diameter,13,1,1,100000002,610000008967,
0.338036,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000008970,
0.243018,µm,Spine,Spine Part Mean Diameter,5,1,1,100000003,610000008975,
0.295359,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000008988,
0.86147,µm,Spine,Spine Part Mean Diameter,0,,1,100000001,610000009011,
0.211367,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000009031,
0.268444,µm,Spine,Spine Part Mean Diameter,3,1,1,100000001,610000009036,
0.235485,µm,Spine,Spine Part Mean Diameter,3,1,1,100000001,610000009038,
0.86147,µm,Spine,Spine Part Mean Diameter,0,,1,100000001,610000009059,
0.277149,µm,Spine,Spine Part Mean Diameter,6,5,1,100000003,610000009061,
0.321333,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000009075,
0.254646,µm,Spine,Spine Part Mean Diameter,3,2,1,100000003,610000009078,
0.216125,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000009084,
0.381671,µm,Spine,Spine Part Mean Diameter,13,1,1,100000002,610000009087,
0.2095,µm,Spine,Spine Part Mean Diameter,4,3,1,100000003,610000009089,
0.262269,µm,Spine,Spine Part Mean Diameter,9,4,1,100000003,610000009092,
0.225701,µm,Spine,Spine Part Mean Diameter,14,8,1,100000001,610000009094,
0.943329,µm,Spine,Spine Part Mean Diameter,0,,1,100000001,610000009112,
0.308613,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000009114,
0.41499,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000009117,
0.343529,µm,Spine,Spine Part Mean Diameter,7,3,1,100000000,610000009122,
0.286008,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000009129,
0.473493,µm,Spine,Spine Part Mean Diameter,3,2,1,100000004,610000009135,
0.339678,µm,Spine,Spine Part Mean Diameter,9,4,1,100000000,610000009140,
0.365322,µm,Spine,Spine Part Mean Diameter,5,2,1,100000000,610000009146,
0.927118,µm,Spine,Spine Part Mean Diameter,0,,1,100000001,610000009165,
0.249976,µm,Spine,Spine Part Mean Diameter,5,3,1,100000003,610000009167,
0.327111,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000009177,
0.315674,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000009180,
0.247896,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000009182,
0.36623,µm,Spine,Spine Part Mean Diameter,2,1,1,100000002,610000009187,
0.280724,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000009191,
0.304016,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000009202,
0.256565,µm,Spine,Spine Part Mean Diameter,8,4,1,100000001,610000009204,
0.197312,µm,Spine,Spine Part Mean Diameter,6,2,1,100000003,610000009208,
0.432818,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000009210,
0.227717,µm,Spine,Spine Part Mean Diameter,3,4,1,100000003,610000009212,
0.473493,µm,Spine,Spine Part Mean Diameter,3,2,1,100000004,610000009218,
0.478267,µm,Spine,Spine Part Mean Diameter,14,5,1,100000001,610000009222,
0.389036,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000009226,
0.287537,µm,Spine,Spine Part Mean Diameter,14,8,1,100000001,610000009228,
0.203559,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000009241,
0.455528,µm,Spine,Spine Part Mean Diameter,2,1,1,100000003,610000009245,
0.943329,µm,Spine,Spine Part Mean Diameter,0,,1,100000001,610000009261,
0.412149,µm,Spine,Spine Part Mean Diameter,5,2,1,100000000,610000009264,
0.335468,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000009271,
0.348795,µm,Spine,Spine Part Mean Diameter,3,3,1,100000003,610000009273,
0.276407,µm,Spine,Spine Part Mean Diameter,12,5,1,100000002,610000009275,
0.40785,µm,Spine,Spine Part Mean Diameter,9,4,1,100000003,610000009279,
