
Filament Position Z
 ==================== 
Filament Position Z,Unit,Category,Collection,Time,ID,
1429.46,µm,Filament,Filament Position,1,100000000,
1430.75,µm,Filament,Filament Position,1,100000001,
1431.42,µm,Filament,Filament Position,1,100000002,
1430.24,µm,Filament,Filament Position,1,100000003,
