
Soma Ellipsoid Axis B Y
 ==================== 
Soma Ellipsoid Axis B Y,Unit,Category,Collection,Time,FilamentID,ID,
-0.269199,µm,Soma,Soma Ellipsoid Axis B,1,100000000,800000000,
0.115985,µm,Soma,Soma Ellipsoid Axis B,1,100000001,800000001,
0.419095,µm,Soma,Soma Ellipsoid Axis B,1,100000002,800000002,
-0.932552,µm,Soma,Soma Ellipsoid Axis B,1,100000003,800000003,
