
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1429.26,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1429.29,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1429.29,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1428.82,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1428.82,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1430.55,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1430.39,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1430.4,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1430.74,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1430.72,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1430.65,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1430.88,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1430.9,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1430.48,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1430.54,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1430.33,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1430.21,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1430.19,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1430.31,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1430.25,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000003,
