
Soma Sphericity
 ==================== 
Soma Sphericity,Unit,Category,Time,FilamentID,ID,
0.805587,,Soma,1,100000000,800000000,
0.753021,,Soma,1,100000001,800000001,
0.731844,,Soma,1,100000002,800000002,
0.666148,,Soma,1,100000003,800000003,
