
Spine Terminal Pt Time Index
 ==================== 
Spine Terminal Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,7,4,1,100000001,610000000867,
1,,Spine,2,3,1,100000002,610000000874,
1,,Spine,0,1,1,100000002,610000000876,
1,,Spine,,,1,,610000000882,
1,,Spine,,,1,,610000000889,
1,,Spine,,,1,,610000000900,
1,,Spine,,,1,,610000000905,
1,,Spine,,,1,,610000000913,
1,,Spine,,,1,,610000000924,
1,,Spine,,,1,,610000000953,
1,,Spine,3,2,1,100000001,610000000973,
1,,Spine,3,1,1,,610000001073,
1,,Spine,2,3,1,,610000001073,
1,,Spine,0,1,1,,610000001074,
1,,Spine,1,1,1,,610000001074,
1,,Spine,2,3,1,,610000001074,
1,,Spine,0,1,1,,610000001075,
1,,Spine,1,1,1,,610000001075,
1,,Spine,2,3,1,,610000001075,
1,,Spine,,,1,,610000001076,
1,,Spine,1,1,1,,610000001076,
1,,Spine,2,3,1,,610000001076,
1,,Spine,0,1,1,,610000001077,
1,,Spine,4,2,1,,610000001077,
1,,Spine,0,1,1,,610000001078,
1,,Spine,5,2,1,,610000001078,
1,,Spine,0,1,1,,610000001079,
1,,Spine,3,1,1,,610000001079,
1,,Spine,,,1,,610000001080,
1,,Spine,0,1,1,,610000001080,
1,,Spine,3,2,1,,610000001080,
1,,Spine,0,1,1,,610000001081,
1,,Spine,3,2,1,,610000001081,
1,,Spine,7,4,1,,610000001082,
1,,Spine,,,1,,610000001083,
1,,Spine,7,4,1,,610000001083,
1,,Spine,0,1,1,,610000001084,
1,,Spine,0,1,1,,610000001085,
1,,Spine,0,1,1,,610000001087,
1,,Spine,,,1,,610000001088,
1,,Spine,,,1,,610000001089,
