
Spine Attachment Pt Time Index
 ==================== 
Spine Attachment Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,0,1,1,100000000,610000000888,
1,,Spine,6,4,1,100000000,610000000941,
1,,Spine,2,2,1,100000001,610000000945,
1,,Spine,4,5,1,100000001,610000000954,
1,,Spine,4,4,1,100000001,610000000962,
1,,Spine,1,1,1,100000000,610000000964,
1,,Spine,7,7,1,100000001,610000000982,
1,,Spine,12,9,1,100000001,610000000998,
1,,Spine,1,1,1,100000000,610000001010,
1,,Spine,12,9,1,100000001,610000001047,
1,,Spine,8,8,1,100000001,610000001048,
1,,Spine,7,7,1,100000001,610000001049,
1,,Spine,7,7,1,100000001,610000001050,
1,,Spine,6,5,1,100000001,610000001051,
1,,Spine,5,5,1,100000001,610000001052,
1,,Spine,3,3,1,100000001,610000001053,
1,,Spine,2,2,1,100000001,610000001054,
1,,Spine,2,2,1,100000001,610000001055,
1,,Spine,1,1,1,,610000001056,
1,,Spine,1,1,1,,610000001057,
1,,Spine,1,1,1,,610000001058,
1,,Spine,1,1,1,,610000001059,
1,,Spine,3,2,1,,610000001061,
1,,Spine,4,3,1,,610000001062,
1,,Spine,4,2,1,,610000001063,
1,,Spine,5,2,1,,610000001064,
1,,Spine,5,2,1,,610000001065,
1,,Spine,5,2,1,,610000001066,
1,,Spine,5,3,1,,610000001067,
1,,Spine,0,1,1,,610000001068,
1,,Spine,1,2,1,,610000001069,
