
Segment Time Index
 ==================== 
Segment Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Segment,8,7,1,100000001,510000000015,
1,,Segment,7,6,1,100000001,510000000024,
1,,Segment,6,6,1,100000001,510000000037,
1,,Segment,5,5,1,100000001,510000000070,
1,,Segment,4,5,1,100000001,510000000085,
1,,Segment,3,4,1,100000001,510000000115,
1,,Segment,2,3,1,100000001,510000000131,
1,,Segment,1,2,1,100000001,510000000136,
1,,Segment,12,10,1,100000001,510000000148,
1,,Segment,11,9,1,100000001,510000000155,
1,,Segment,10,9,1,100000001,510000000160,
1,,Segment,8,8,1,100000001,510000000173,
1,,Segment,7,7,1,100000001,510000000243,
1,,Segment,12,9,1,100000001,510000000261,
1,,Segment,11,10,1,100000001,510000000263,
1,,Segment,9,9,1,100000001,510000000265,
1,,Segment,8,7,1,100000001,510000000275,
1,,Segment,5,6,1,100000001,510000000298,
1,,Segment,6,5,1,100000001,510000000301,
1,,Segment,4,4,1,100000001,510000000329,
1,,Segment,3,3,1,100000001,510000000337,
1,,Segment,6,4,1,100000000,510000000354,
1,,Segment,5,3,1,100000000,510000000397,
1,,Segment,4,2,1,100000000,510000000402,
1,,Segment,3,2,1,100000000,510000000405,
1,,Segment,1,1,1,100000000,510000000432,
1,,Segment,0,1,1,100000000,510000000455,
1,,Segment,5,2,1,100000000,510000000513,
1,,Segment,6,3,1,100000000,510000000517,
1,,Segment,2,2,1,100000001,510000000562,
1,,Segment,3,2,1,100000001,510000000570,
1,,Segment,2,2,1,100000001,510000000603,
1,,Segment,1,1,1,100000001,510000000629,
1,,Segment,3,3,1,100000001,510000000639,
1,,Segment,1,2,1,100000000,510000000680,
1,,Segment,4,3,1,100000000,510000000683,
1,,Segment,2,2,1,100000000,510000000691,
1,,Segment,4,2,1,100000000,510000000693,
1,,Segment,2,1,1,100000001,510000000730,
1,,Segment,0,1,1,100000000,510000000774,
1,,Segment,1,1,1,100000000,510000000777,
1,,Segment,0,1,1,100000000,510000000779,
1,,Segment,1,2,1,100000000,510000000781,
1,,Segment,2,1,1,100000000,510000000785,
1,,Segment,3,1,1,100000000,510000000786,
1,,Segment,4,1,1,100000000,510000000787,
1,,Segment,0,1,1,100000001,510000000789,
1,,Segment,8,6,1,100000001,510000000790,
1,,Segment,9,8,1,100000001,510000000791,
1,,Segment,10,8,1,100000001,510000000792,
