
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.304156,µm,Segment,8,7,1,100000001,510000000015,
0.286992,µm,Segment,7,6,1,100000001,510000000024,
0.259519,µm,Segment,6,6,1,100000001,510000000037,
0.304564,µm,Segment,5,5,1,100000001,510000000070,
0.279317,µm,Segment,4,5,1,100000001,510000000085,
0.236905,µm,Segment,3,4,1,100000001,510000000115,
0.251044,µm,Segment,2,3,1,100000001,510000000131,
0.275397,µm,Segment,1,2,1,100000001,510000000136,
0.273607,µm,Segment,12,10,1,100000001,510000000148,
0.386533,µm,Segment,11,9,1,100000001,510000000155,
0.323653,µm,Segment,10,9,1,100000001,510000000160,
0.307722,µm,Segment,8,8,1,100000001,510000000173,
0.262737,µm,Segment,7,7,1,100000001,510000000243,
0.357522,µm,Segment,12,9,1,100000001,510000000261,
0.280658,µm,Segment,11,10,1,100000001,510000000263,
0.304686,µm,Segment,9,9,1,100000001,510000000265,
0.331765,µm,Segment,8,7,1,100000001,510000000275,
0.274136,µm,Segment,5,6,1,100000001,510000000298,
0.299072,µm,Segment,6,5,1,100000001,510000000301,
0.294451,µm,Segment,4,4,1,100000001,510000000329,
0.293378,µm,Segment,3,3,1,100000001,510000000337,
0.32607,µm,Segment,6,4,1,100000000,510000000354,
0.322175,µm,Segment,5,3,1,100000000,510000000397,
0.52266,µm,Segment,4,2,1,100000000,510000000402,
0.561721,µm,Segment,3,2,1,100000000,510000000405,
0.3615,µm,Segment,1,1,1,100000000,510000000432,
0.373093,µm,Segment,0,1,1,100000000,510000000455,
0.334565,µm,Segment,5,2,1,100000000,510000000513,
0.374078,µm,Segment,6,3,1,100000000,510000000517,
0.291375,µm,Segment,2,2,1,100000001,510000000562,
0.389629,µm,Segment,3,2,1,100000001,510000000570,
0.304755,µm,Segment,2,2,1,100000001,510000000603,
0.359554,µm,Segment,1,1,1,100000001,510000000629,
0.229021,µm,Segment,3,3,1,100000001,510000000639,
0.341407,µm,Segment,1,2,1,100000000,510000000680,
0.482175,µm,Segment,4,3,1,100000000,510000000683,
0.241515,µm,Segment,2,2,1,100000000,510000000691,
0.707795,µm,Segment,4,2,1,100000000,510000000693,
0.339649,µm,Segment,2,1,1,100000001,510000000730,
0.29318,µm,Segment,0,1,1,100000000,510000000774,
0.418481,µm,Segment,1,1,1,100000000,510000000777,
0.289618,µm,Segment,0,1,1,100000000,510000000779,
0.373009,µm,Segment,1,2,1,100000000,510000000781,
0.366629,µm,Segment,2,1,1,100000000,510000000785,
0.567581,µm,Segment,3,1,1,100000000,510000000786,
0.871629,µm,Segment,4,1,1,100000000,510000000787,
1.16511,µm,Segment,0,1,1,100000001,510000000789,
0.343569,µm,Segment,8,6,1,100000001,510000000790,
0.314923,µm,Segment,9,8,1,100000001,510000000791,
0.383671,µm,Segment,10,8,1,100000001,510000000792,
