
Spine Part Length Neck
 ==================== 
Spine Part Length Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.656317,µm,Spine,Spine Part Length,3,3,1,100000001,610000000875,
0.251063,µm,Spine,Spine Part Length,4,5,1,100000001,610000000884,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000000888,
0.501545,µm,Spine,Spine Part Length,3,3,1,100000001,610000000898,
0.131159,µm,Spine,Spine Part Length,6,3,1,100000000,610000000901,
0.281785,µm,Spine,Spine Part Length,2,2,1,100000001,610000000907,
0.250668,µm,Spine,Spine Part Length,3,3,1,100000001,610000000915,
0,µm,Spine,Spine Part Length,4,5,1,100000001,610000000919,
0.205484,µm,Spine,Spine Part Length,3,3,1,100000001,610000000927,
0.383953,µm,Spine,Spine Part Length,7,7,1,100000001,610000000933,
0.283214,µm,Spine,Spine Part Length,3,3,1,100000001,610000000939,
0,µm,Spine,Spine Part Length,6,4,1,100000000,610000000941,
0,µm,Spine,Spine Part Length,2,2,1,100000001,610000000945,
0.244091,µm,Spine,Spine Part Length,3,3,1,100000001,610000000951,
0.116014,µm,Spine,Spine Part Length,4,5,1,100000001,610000000954,
0.27529,µm,Spine,Spine Part Length,7,7,1,100000001,610000000960,
0,µm,Spine,Spine Part Length,4,4,1,100000001,610000000962,
0,µm,Spine,Spine Part Length,1,1,1,100000000,610000000964,
0.128254,µm,Spine,Spine Part Length,7,7,1,100000001,610000000967,
0.127325,µm,Spine,Spine Part Length,1,2,1,100000000,610000000971,
0.15463,µm,Spine,Spine Part Length,1,1,1,100000000,610000000976,
0.128731,µm,Spine,Spine Part Length,7,7,1,100000001,610000000982,
0.16914,µm,Spine,Spine Part Length,3,3,1,100000001,610000000985,
0.135853,µm,Spine,Spine Part Length,2,1,1,100000000,610000000992,
0,µm,Spine,Spine Part Length,1,2,1,100000000,610000000996,
0,µm,Spine,Spine Part Length,12,9,1,100000001,610000000998,
0,µm,Spine,Spine Part Length,1,1,1,100000000,610000001000,
0,µm,Spine,Spine Part Length,3,3,1,100000001,610000001006,
0,µm,Spine,Spine Part Length,1,1,1,100000000,610000001010,
0,µm,Spine,Spine Part Length,3,2,1,100000000,610000001013,
0,µm,Spine,Spine Part Length,5,2,1,100000000,610000001016,
0,µm,Spine,Spine Part Length,5,3,1,100000000,610000001027,
0,µm,Spine,Spine Part Length,5,2,1,100000000,610000001028,
0,µm,Spine,Spine Part Length,5,2,1,100000000,610000001029,
0,µm,Spine,Spine Part Length,5,2,1,100000000,610000001030,
0,µm,Spine,Spine Part Length,4,2,1,100000000,610000001031,
0,µm,Spine,Spine Part Length,4,3,1,100000000,610000001032,
0,µm,Spine,Spine Part Length,3,2,1,100000000,610000001033,
0,µm,Spine,Spine Part Length,2,1,1,100000000,610000001034,
0,µm,Spine,Spine Part Length,1,1,1,100000000,610000001035,
0,µm,Spine,Spine Part Length,1,1,1,100000000,610000001036,
0,µm,Spine,Spine Part Length,1,1,1,100000000,610000001037,
0,µm,Spine,Spine Part Length,1,1,1,100000000,610000001038,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000001041,
0,µm,Spine,Spine Part Length,1,2,1,100000000,610000001045,
0,µm,Spine,Spine Part Length,12,9,1,100000001,610000001047,
0,µm,Spine,Spine Part Length,8,8,1,100000001,610000001048,
0,µm,Spine,Spine Part Length,7,7,1,100000001,610000001049,
0,µm,Spine,Spine Part Length,7,7,1,100000001,610000001050,
0,µm,Spine,Spine Part Length,6,5,1,100000001,610000001051,
0,µm,Spine,Spine Part Length,5,5,1,100000001,610000001052,
0,µm,Spine,Spine Part Length,3,3,1,100000001,610000001053,
0,µm,Spine,Spine Part Length,2,2,1,100000001,610000001054,
0,µm,Spine,Spine Part Length,2,2,1,100000001,610000001055,
