
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
22,,Segment,3,8,Image 1,7,1,100000001,510000000015,
0,,Segment,3,7,Image 1,6,1,100000001,510000000024,
0,,Segment,3,6,Image 1,6,1,100000001,510000000037,
17,,Segment,3,5,Image 1,5,1,100000001,510000000070,
12,,Segment,3,4,Image 1,5,1,100000001,510000000085,
0,,Segment,3,3,Image 1,4,1,100000001,510000000115,
0,,Segment,3,2,Image 1,3,1,100000001,510000000131,
40,,Segment,3,1,Image 1,2,1,100000001,510000000136,
0,,Segment,3,12,Image 1,10,1,100000001,510000000148,
21,,Segment,3,11,Image 1,9,1,100000001,510000000155,
40,,Segment,3,10,Image 1,9,1,100000001,510000000160,
21,,Segment,3,8,Image 1,8,1,100000001,510000000173,
9,,Segment,3,7,Image 1,7,1,100000001,510000000243,
4,,Segment,3,12,Image 1,9,1,100000001,510000000261,
40,,Segment,3,11,Image 1,10,1,100000001,510000000263,
32,,Segment,3,9,Image 1,9,1,100000001,510000000265,
0,,Segment,3,8,Image 1,7,1,100000001,510000000275,
0,,Segment,3,5,Image 1,6,1,100000001,510000000298,
33,,Segment,3,6,Image 1,5,1,100000001,510000000301,
8,,Segment,3,4,Image 1,4,1,100000001,510000000329,
14,,Segment,3,3,Image 1,3,1,100000001,510000000337,
12,,Segment,3,6,Image 1,4,1,100000000,510000000354,
12,,Segment,3,5,Image 1,3,1,100000000,510000000397,
45,,Segment,3,4,Image 1,2,1,100000000,510000000402,
65,,Segment,3,3,Image 1,2,1,100000000,510000000405,
16,,Segment,3,1,Image 1,1,1,100000000,510000000432,
18,,Segment,3,0,Image 1,1,1,100000000,510000000455,
8,,Segment,3,5,Image 1,2,1,100000000,510000000513,
15,,Segment,3,6,Image 1,3,1,100000000,510000000517,
0,,Segment,3,2,Image 1,2,1,100000001,510000000562,
12,,Segment,3,3,Image 1,2,1,100000001,510000000570,
8,,Segment,3,2,Image 1,2,1,100000001,510000000603,
19,,Segment,3,1,Image 1,1,1,100000001,510000000629,
0,,Segment,3,3,Image 1,3,1,100000001,510000000639,
11,,Segment,3,1,Image 1,2,1,100000000,510000000680,
57,,Segment,3,4,Image 1,3,1,100000000,510000000683,
58,,Segment,3,2,Image 1,2,1,100000000,510000000691,
72,,Segment,3,4,Image 1,2,1,100000000,510000000693,
6,,Segment,3,2,Image 1,1,1,100000001,510000000730,
10,,Segment,3,0,Image 1,1,1,100000000,510000000774,
17,,Segment,3,1,Image 1,1,1,100000000,510000000777,
77,,Segment,3,0,Image 1,1,1,100000000,510000000779,
31,,Segment,3,1,Image 1,2,1,100000000,510000000781,
69,,Segment,3,2,Image 1,1,1,100000000,510000000785,
73,,Segment,3,3,Image 1,1,1,100000000,510000000786,
73,,Segment,3,4,Image 1,1,1,100000000,510000000787,
47,,Segment,3,0,Image 1,1,1,100000001,510000000789,
22,,Segment,3,8,Image 1,6,1,100000001,510000000790,
72,,Segment,3,9,Image 1,8,1,100000001,510000000791,
56,,Segment,3,10,Image 1,8,1,100000001,510000000792,
