
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,Set 1,ID,
1495.6,µm,Surface,Position,1,Class B,0,
1494.48,µm,Surface,Position,1,Class B,1,
1494.88,µm,Surface,Position,1,Class B,2,
1495.65,µm,Surface,Position,1,Class B,3,
1495.31,µm,Surface,Position,1,Class B,4,
1495.36,µm,Surface,Position,1,Class B,5,
