
Intensity Sum of Square Ch=4 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
14810,,Surface,4,Image 1,1,Class B,0,
830318,,Surface,4,Image 1,1,Class B,1,
42459,,Surface,4,Image 1,1,Class B,2,
0,,Surface,4,Image 1,1,Class B,3,
507079,,Surface,4,Image 1,1,Class B,4,
25246,,Surface,4,Image 1,1,Class B,5,
