
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,Set 1,ID,
0,µm,Surface,Image 1,1,Class B,0,
6.69531,µm,Surface,Image 1,1,Class B,1,
2.59766,µm,Surface,Image 1,1,Class B,2,
9.31738,µm,Surface,Image 1,1,Class B,3,
0,µm,Surface,Image 1,1,Class B,4,
0,µm,Surface,Image 1,1,Class B,5,
